Time,Temperature(℃),Feels Like(℃),Dew Point(℃),Humidity(%),Solar(W/m²),UVI,Rain Rate(in/hr),Daily(in),Event(in),Hourly(in),Weekly(in),Monthly(in),Wind Speed(mph),Wind Gust(mph),Wind Direction(º),Relative(inHg),Absolute(inHg),Weather Condition
88,25.9,25.9,23,72,33.4,0,0,0,0,0,0,3.87,0,1.1,64,28.52,29.19,0
88,26.3,26.3,24.1,76,36.2,0,0,0,0,0,0,3.87,0.1,2.2,82,28.53,29.2,0
88,26.8,30,24.7,76,23.8,0,0,0,0,0,0,3.87,0,1.1,112,28.52,29.19,0
88,26.9,30.5,25.2,77,4.1,0,0,0,0,0,0,3.87,0,1.1,150,28.6,29.27,0
88,24.5,24.5,23.8,80,11,0,0,0.61,0.61,0,0.61,4.48,0,0,194,28.61,29.28,0
88,25.9,25.9,24.3,80,17.5,0,0,0,0,0,0.61,4.48,0.1,1.1,83,28.56,29.23,0
88,24.5,24.5,24.2,83,18.3,0,0,0.45,1.89,0,2.5,6.37,0,0,218,28.5,29.17,0
88,25.2,25.2,24.7,85,1.1,0,0.19,1.44,3.35,0.06,1.44,7.83,0,1.1,115,28.47,29.14,0
88,25.4,25.4,24.7,84,38.2,0,0,0,4.03,0,2.12,8.51,0,1.1,136,28.47,29.14,0
88,24.9,24.9,24.5,85,40,0,0,0.19,0.63,0,2.75,9.14,0,0,168,28.49,29.16,0
88,24.7,24.7,24.4,83,12.9,0,0,0.73,1.68,0,3.8,10.19,0,0,164,28.45,29.12,0
88,25.4,25.4,24.3,83,26.2,0,0,0,0,0,3.82,10.21,0.1,1.1,17,28.42,29.09,0
88,23.5,23.5,22.7,80,6.9,0,0.12,0.15,0.54,0.03,4.36,10.75,0.4,3.4,267,28.41,29.08,0
88,23.9,23.9,23.6,86,21.1,0,0,0.1,1.36,0,5.18,11.57,0,0,56,28.48,29.15,0
88,24.9,24.9,24.6,84,20.8,0,0,0,2.89,0,0,13.1,0,0,117,28.51,29.18,0
88,24.6,24.6,24,84,28.4,0,0,0.02,3.22,0,0.33,13.43,0,1.1,89,28.59,29.26,0
88,24.9,24.9,24.1,83,10.1,0,0,0,0,0,0.33,13.43,0,0,164,28.67,29.34,0
88,23.8,23.8,23.3,84,10.2,0,0,0.02,0.74,0,1.07,14.17,0,0,153,28.72,29.39,0
88,24.8,24.8,24.6,85,41.5,0,0,0,0,0,1.08,14.18,0,0,166,28.7,29.37,0
88,25.5,25.5,25.2,83,28.4,0,0,0,0,0,1.08,14.18,0,0,158,28.67,29.34,0
88,25,25,24.5,81,24.7,0,0,0,0,0,1.08,14.18,0,0,116,28.66,29.33,1
88,26.8,30.6,25.6,80,28.7,0,0,0,0,0,0,14.18,0,0,146,28.63,29.3,1
88,27.2,31.3,25.4,78,20.3,0,0,0,0,0,0,14.18,0.1,1.1,110,28.58,29.25,1
88,25.1,25.1,24.4,82,28,0,0,0,0.57,0,0.57,0,0,1.1,135,28.57,29.24,1
88,25.4,25.4,23.8,79,2.9,0,0,0,0,0,0.57,0,1,4.5,199,28.67,29.34,2
88,24.5,24.5,20.7,70,17.3,0,0,0,0,0,0.59,0.02,0.6,3.4,171,28.72,29.39,2
88,23.9,23.9,20.2,69,22.9,0,0,0,0,0,0.59,0.02,0.1,1.1,157,28.74,29.41,2
88,22.4,22.4,19.7,72,26.5,0,0,0,0,0,0.59,0.02,0.2,2.2,178,28.72,29.39,2
88,23.1,23.1,20.9,73,30.9,0,0,0,0,0,0,0.02,0,1.1,184,28.74,29.41,2
88,22.5,22.5,21.5,75,22,0,0,0,0,0,0,0.02,0,0,141,28.77,29.44,2
88,24.7,24.7,22.4,74,25.9,0,0,0,0,0,0,0.02,0.1,1.1,167,28.74,29.41,2
88,24.2,24.2,22.2,76,30.5,0,0,0,0,0,0,0.02,0,1.1,176,28.73,29.4,2
88,23.9,23.9,21.5,74,27.3,0,0,0,0,0,0,0.02,0.5,2.2,180,28.69,29.36,2
88,23.4,23.4,21.5,74,26.8,0,0,0,0,0,0,0.02,0,1.1,159,28.67,29.34,2
88,24.7,24.7,22.7,75,26,0,0,0,0,0,0,0.02,0,1.1,185,28.7,29.37,2
89,24.1,24.1,22.3,75,24.8,0,0,0,0,0,0,0.03,0,0,141,28.55,29.35,3
88,24.7,24.7,23,76,26.4,0,0,0,0,0,0,0.03,0,0,141,28.53,29.33,3
88,25.5,25.5,23.6,76,17.1,0,0,0,0,0,0,0.03,0.1,2.2,148,28.56,29.36,3
88,25.4,25.4,24.4,81,25.1,0,0,0,0,0,0.02,0.05,0,1.1,159,28.7,29.36,3
89,24,24,23.8,83,22.1,0,0,0.72,0.83,0,0.72,0.88,0,1.1,170,28.74,29.39,4
88,25,25,24.4,80,25.5,0,0,0,0,0,0.72,0.88,0,0,136,28.73,29.38,5
88,24.3,24.3,23,78,26.8,0,0,0,0,0,0.72,0.88,0,0,169,28.72,29.37,6
88,23.4,23.4,21.9,77,21.6,0,0,0,0,0,0.73,0.89,0,0,163,28.73,29.39,6
88,22.8,22.8,21.1,76,36.9,0,0,0,0,0,0.75,0.91,0,0,147,28.74,29.39,6
89,22.1,22.1,21.4,77,19.9,0,0,0,0,0,0.75,0.91,0,0,135,28.67,29.32,7
88,24.6,24.6,23.5,77,18.2,0,0,0,0,0,0.75,0.91,0,0,135,28.61,29.26,7
89,25.2,25.2,23.6,76,10,0,0,0,0,0,0,0.91,0.1,2.2,153,28.53,29.18,7
88,23.6,23.6,21.5,77,12.8,0,0,0,0.04,0,0.04,0.95,0,0,190,28.53,29.19,8
89,24.8,24.8,21.9,72,8.7,0,0,0,0,0,0.04,0.95,0,0,168,28.62,29.27,8
89,24.2,24.2,22.9,77,14.1,0,0,0,0,0,0.04,0.95,0,0,145,28.69,29.35,8
88,23.3,23.3,22.3,76,16.8,0,0,0,0,0,0.04,0.95,0,0,132,28.69,29.34,8
88,24.5,24.5,23.7,78,15.5,0,0,0,0,0,0.04,0,0,0,155,28.67,29.32,8
88,22.5,22.5,20.3,72,19.9,0,0,0,0,0,0.04,0,0,1.1,145,28.72,29.37,8
88,21,21,19.1,73,17.8,0,0,0,0,0,0,0,0,1.1,163,28.78,29.43,8
88,23,23,20.2,70,11.4,0,0,0,0,0,0,0,0,0,169,28.77,29.42,8
88,23.8,23.8,21.3,74,11.5,0,0,0,0,0,0,0,0,1.1,186,28.79,29.44,8
88,22.4,22.4,19.8,73,25,0,0,0,0,0,0.03,0.03,0,0,173,28.8,29.45,8
88,21.9,21.9,20.7,74,19,0,0,0,0,0,0,0.03,0,0,160,28.68,29.34,8
88,24.7,24.7,22.2,72,16.9,0,0,0,0,0,0,0.03,0,0,189,28.68,29.33,8
88,24.9,24.9,23.7,76,18.6,0,0,0,0,0,0,0.03,0,0,113,28.67,29.32,8
88,24.7,24.7,23.6,76,15.2,0,0,0,0,0,0,0.03,0,0,120,28.66,29.31,8
88,24.3,24.3,21.8,86,1.1,0,0,0,0,0,0,0.03,0,0,148,28.67,29.32,8
88,21.2,21.2,18.6,85,0.7,0,0,0,0,0,0,0.03,0,0,155,28.73,29.38,8
88,22.2,22.2,19.6,85,0.9,0,0,0,0,0,0,0.03,0.1,1.1,210,28.78,29.43,8
88,21.1,21.1,19.8,92,0.6,0,0,0,0,0,0,0.03,0,0,162,28.77,29.42,8
88,20.9,20.9,18.3,85,0.7,0,0,0,0,0,0,0.03,0,1.1,168,28.77,29.42,9
88,21.5,21.5,18.1,81,0.6,0,0,0,0,0,0,0.03,0,0,165,28.77,29.42,9
88,22.9,22.9,19.1,79,0.1,0,0,0,0,0,0,0.03,0,0,161,28.79,29.44,9
88,22.8,22.8,19.7,83,0.2,0,0,0,0,0,0,0.03,0,0,182,28.75,29.41,9
89,23.6,23.6,20.5,83,0.2,0,0,0,0,0,0,0.03,0,0,151,28.75,29.4,9
89,21.7,21.7,19.3,86,0.1,0,0,0,0,0,0,0.03,0,0,163,28.77,29.42,9
89,19.7,19.7,16.8,83,0.1,0,0,0,0,0,0,0.03,0,0,167,28.85,29.5,9
88,17,17,14.3,84,0.2,0,0,0,0,0,0,0.03,0,0,172,28.88,29.53,9
88,16.4,16.4,13.9,85,0.1,0,0,0,0,0,0,0.03,0,0,162,28.82,29.47,9
88,16.7,16.7,15.8,94,0.1,0,0,0,0,0,0,0,0,0,154,28.74,29.39,9
88,18.6,18.6,17.9,96,0.1,0,0,0,0,0,0,0,0,0,142,28.68,29.33,9
88,19.2,19.2,17.7,91,0.1,0,0,0,0,0,0,0,0,0,147,28.71,29.37,9
88,21.1,21.1,18,82,0.1,0,0,0,0,0,0,0,0,0,150,28.72,29.37,9
88,20.2,20.2,17.8,86,0.1,0,0,0,0,0,0,0,0,0,149,28.72,29.37,10
88,19.1,19.1,17.6,91,0.1,0,0,0,0,0,0,0,0,0,148,28.71,29.36,11
88,20.5,20.5,19.2,92,0.1,0,0,0,0,0,0,0,0,0,155,28.73,29.38,11
88,21.8,21.8,18.4,81,0.1,0,0,0,0,0,0,0,0.8,2.2,184,28.78,29.43,11
89,19,19,16.1,83,0,0,0,0,0,0,0,0,0,1.1,138,28.79,29.44,12
88,18.8,18.8,17.2,90,0,0,0,0,0,0,0,0,0,0,153,28.72,29.37,12
88,20,20,18.6,92,0,0,0,0,0,0,0,0,0,0,156,28.69,29.34,12
88,23.1,23.1,19.1,78,0,0,0,0,0,0,0,0,0.2,1.1,161,28.69,29.34,12
88,23.3,23.3,17.5,70,0,0,0,0,0,0,0,0,0.1,1.1,153,28.74,29.39,12
88,21.3,21.3,15.6,70,0,0,0,0,0,0,0,0,0.6,3.4,156,28.81,29.47,12
88,16.4,16.4,12.7,79,0,0,0,0,0,0,0,0,0,0,159,28.89,29.55,12
88,15.9,15.9,12.3,79,0,0,0,0,0,0,0,0,0.1,1.1,85,28.91,29.56,12
88,16.1,16.1,12.8,81,0,0,0,0,0,0,0,0,0,0,152,28.86,29.51,12
89,17.6,17.6,14.5,82,0,0,0,0,0,0,0,0,0.1,1.1,165,28.85,29.51,13
89,15.3,15.3,13.1,87,0,0,0,0,0,0,0,0,0,0,153,28.88,29.53,13
89,15.5,15.5,14.2,92,0,0,0,0,0,0,0,0,0,0,159,28.83,29.48,13
89,15.1,15.1,13.2,88,0,0,0,0,0,0,0,0,0,0,152,28.8,29.45,13
89,15.4,15.4,13.3,87,0,0,0,0,0,0,0,0,0,0,156,28.82,29.47,13
89,14.8,14.8,12.8,88,0,0,0,0,0,0,0,0,0,0,160,28.81,29.46,13
88,16.1,16.1,14.1,88,0,0,0,0,0,0,0,0,0,0,158,28.83,29.48,13
88,15.4,15.4,13.2,87,0,0,0,0,0,0,0,0,0,0,128,28.87,29.52,13
88,18.2,18.2,15.6,84,0,0,0,0,0,0,0,0,0,0,156,28.85,29.51,13
89,19.9,19.9,15.9,78,0,0,0,0,0,0,0,0,0.9,2.2,143,28.86,29.52,14
89,21.1,21.1,15.7,71,0,0,0,0,0,0,0,0,0.2,1.1,134,28.91,29.57,14
89,15.3,15.3,12.4,83,0,0,0,0,0,0,0,0,0,0,161,28.93,29.58,14
89,15.1,15.1,13.5,90,0,0,0,0,0,0,0,0,0,0,152,28.84,29.5,14
89,16,16,14.6,91,0,0,0,0,0,0,0,0,0,0,147,28.86,29.51,15
89,15.4,15.4,13.6,89,0,0,0,0,0,0,0,0,0,0,141,28.82,29.47,15
89,15.3,15.3,14,92,0,0,0,0,0,0,0,0,0,0,147,28.79,29.44,16
89,18.7,18.7,15.2,80,0,0,0,0,0,0,0,0,0.2,1.1,195,28.83,29.48,16
89,15.8,15.8,11.2,74,0,0,0,0,0,0,0,0,0,0,159,28.82,29.47,16
88,15.3,15.3,12.9,86,0,0,0,0,0,0,0,0,0,0,146,28.9,29.55,16
88,13.6,13.6,12.2,91,0,0,0,0,0,0,0,0,0,0,146,28.8,29.46,16
88,14.6,14.6,13,90,0,0,0,0,0,0,0,0,0,0,144,28.78,29.43,16
88,17.9,17.9,15.2,84,0,0,0,0,0,0,0,0,0,0,156,28.83,29.48,16
88,18.7,18.7,14.9,78,0,0,0,0,0,0,0,0,0,0,153,28.93,29.58,16
88,14.6,14.6,11.2,80,0,0,0,0,0,0,0,0,0,0,164,28.99,29.65,16
88,12.4,12.4,7.7,73,0,0,0,0,0,0,0,0,0,0,160,29.02,29.67,16
88,15.3,15.3,14,92,0,0,0,0,0,0,0,0,0,0,132,28.87,29.52,16
88,16.8,16.8,12.9,78,0,0,0,0,0,0,0,0,0,0,156,28.93,29.58,16
88,14.8,14.8,12.1,84,0,0,0,0,0,0,0,0,0,0,156,28.91,29.56,16
88,13.7,13.7,11.9,89,0,0,0,0,0,0,0,0,0,0,134,28.83,29.48,16
88,14.6,14.6,13.3,92,0,0,0,0,0,0,0,0,0,0,149,28.73,29.38,16
88,15.9,15.9,13.6,86,0,0,0,0,0,0,0,0,0,0,140,28.76,29.41,16
88,15.4,15.4,14.8,96,0,0,0,0,0,0,0,0,0,0,152,28.74,29.39,16
88,16.5,16.5,14.3,87,0,0,0,0,0,0,0,0,0,0,282,28.67,29.32,16
