Time,Temperature(℃),Feels Like(℃),Dew Point(℃),Humidity(%),Solar(W/m²),UVI,Rain Rate(in/hr),Daily(in),Event(in),Hourly(in),Weekly(in),Monthly(in),Wind Speed(mph),Wind Gust(mph),Wind Direction(º),Relative(inHg),Absolute(inHg),Weather Condition
88,28.5,33.2,24.5,69,0,0,0,0,0,0,0,3.87,0.2,2.2,86,28.57,29.24,26.91428571
88,28.4,33.1,24.6,69,0,0,0,0,0,0,0,3.87,0,1.1,67,28.56,29.23,21.5
88,28.1,32.7,24.8,70,0,0,0,0,0,0,0,3.87,0.1,1.1,207,28.58,29.25,24.78571429
88,28,33.3,25.7,75,0,0,0,0,0,0,0,3.87,0,1.1,116,28.63,29.3,21.31428571
88,27.3,31.3,25.2,75,0,0,0,0.61,0.61,0,0.61,4.48,0.1,2.2,127,28.61,29.28,22.54285714
88,24.6,24.6,24,77,0,0,1.04,1.4,1.4,0.21,2.01,5.88,0,1.1,121,28.56,29.23,21.8
88,25.8,25.8,25,82,0,0,0,0.47,1.91,0,2.52,6.39,0,0,51,28.52,29.19,21.28571429
88,25.4,25.4,24.1,79,0,0,0,2.12,4.03,0,2.12,8.51,0,0,51,28.5,29.17,21.3
88,26.3,26.3,26.2,84,0,0,0,0.44,0.44,0,2.56,8.95,0,1.1,170,28.51,29.18,20.18571429
88,27.6,32.3,25.7,77,0,0,0,0.51,0.95,0,3.07,9.46,0,0,217,28.47,29.14,21.31428571
88,25.8,25.8,24.5,79,0,0,0,0.75,1.7,0,3.82,10.21,0,0,126,28.47,29.14,16.84285714
88,25.9,25.9,25.2,79,0,0,0,0.39,0.39,0,4.21,10.6,0,1.1,139,28.4,29.07,14.91428571
88,24.2,24.2,23.7,84,0,0,0,0.87,1.26,0,5.08,11.47,0,0,55,28.49,29.17,16.35714286
88,24.7,24.7,23.9,80,0,0,0.54,1.62,2.88,0.13,6.7,13.09,0,1.1,110,28.55,29.22,16.08571429
88,24.7,24.7,24,83,0,0,0.05,0.31,3.2,0.01,0.31,13.41,0,0,124,28.59,29.26,18.52857143
88,25.7,25.7,23.9,78,0,0,0,0.02,0,0,0.33,13.43,0,0,207,28.68,29.35,20.1
88,23.7,23.7,22.9,82,0,0,0,0.72,0.72,0,1.05,14.15,0,1.1,194,28.7,29.37,21.37142857
88,25.3,25.3,24.5,82,0,0,0,0.03,0,0,1.08,14.18,0,0,166,28.71,29.38,16.14285714
88,26.3,26.3,25,77,0,0,0,0,0,0,1.08,14.18,0,0,158,28.7,29.37,17.04285714
88,27.7,32.5,25.6,76,0,0,0,0,0,0,1.08,14.18,0,0,124,28.67,29.34,16.12857143
88,28.3,33.7,25.5,73,0,0,0,0,0,0,1.08,14.18,0,0,130,28.64,29.31,16.22857143
88,29.1,35.8,26,71,0,0,0,0,0,0,0,14.18,0,1.1,100,28.61,29.28,15.91428571
88,25.2,25.2,24.3,80,0,0,0,0.57,0.57,0,0.57,14.75,0,0,132,28.59,29.26,24.37142857
88,27.5,32,25.6,76,0,0,0,0,0,0,0.57,0,0,1.1,117,28.64,29.31,23.5
88,26.4,26.4,23.5,74,0,0,0,0.02,0,0,0.59,0.02,0.8,5.8,186,28.71,29.38,26.57142857
88,26.3,26.3,21.9,69,0,0,0,0,0,0,0.59,0.02,0.9,3.4,145,28.75,29.42,22.9
88,25.7,25.7,21.6,68,0,0,0,0,0,0,0.59,0.02,0.5,3.4,152,28.74,29.41,24.94285714
88,25.7,25.7,21.8,66,0,0,0,0,0,0,0.59,0.02,0,1.1,169,28.74,29.41,22.95714286
