Time,Temperature(℃),Feels Like(℃),Dew Point(℃),Humidity(%),Solar(W/m²),UVI,Rain Rate(in/hr),Daily(in),Event(in),Hourly(in),Weekly(in),Monthly(in),Wind Speed(mph),Wind Gust(mph),Wind Direction(º),Relative(inHg),Absolute(inHg),Weather Condition,temp,dwpt,rhum,prcp,wdir,wspd
88,26.4,26.4,22.9,71,0,0,0,0,0,0,0,3.87,0.2,1.1,68,28.51,29.18,1.628571429,26.1,23.8,87,0,190,1.8
88,26.3,26.3,24.1,75,0,0,0,0,0,0,0,3.87,0.1,1.1,75,28.52,29.19,1.671428571,27.2,23.9,82,0,230,5.4
88,27,30.5,24.7,75,0,0,0,0,0,0,0,3.87,0,0,64,28.52,29.19,1.328571429,26.5,23.9,92,0,0,0
88,27,30.8,25.2,76,0,0,0,0,0,0,0,3.87,0,0,161,28.59,29.26,1.885714286,24.2,23.9,98,0,327,5
88,24.6,24.6,23.9,79,0,0,0,0.61,0.61,0,0.61,4.48,0,0,194,28.61,29.28,1.671428571,24.2,23.3,95,0,211,7.9
88,26,26,24.4,80,0,0,0,0,0,0,0.61,4.48,0.2,2.2,84,28.55,29.22,1.185714286,24.2,24.3,97,6,0,0
88,24.4,24.4,23.9,83,0,0,0.07,0.45,1.89,0.02,2.5,6.37,0.1,1.1,238,28.49,29.16,1.542857143,25.7,23.8,94,0,230,1.8
88,25.3,25.3,24.9,85,0,0,1.68,1.3,3.21,0.23,1.3,7.69,0,0,137,28.45,29.12,1.457142857,25.2,23.9,99,0,0,0
88,24.9,24.9,24.3,83,0,0,0,0,4.03,0,2.12,8.51,0,0,136,28.46,29.13,0.9,25.2,22.7,97,0,0,0
88,24.8,24.8,24.4,84,0,0,0,0.19,0.63,0,2.75,9.14,0,0,168,28.48,29.15,1.171428571,24.5,23.5,99,0,0,0
88,24.6,24.6,24.1,83,0,0,0,0.73,1.68,0,3.8,10.19,0,0,163,28.45,29.12,1.5,25.2,22.5,95,0,0,0
88,25.4,25.4,24.2,82,0,0,0,0,0,0,3.82,10.21,0,0,110,28.41,29.08,1.257142857,23.3,24.6,97,2,0,0
88,23.6,23.6,22.4,78,0,0,0.12,0.08,0.47,0.04,4.29,10.68,0.3,2.2,243,28.4,29.07,1.742857143,23.8,22.7,95,0,0,0
88,24,24,23.7,85,0,0,0,0.1,1.36,0,5.18,11.57,0,0,56,28.46,29.13,1.057142857,25.3,23.1,99,0,0,0
88,25,25,24.9,84,0,0,0,0,2.89,0,0,13.1,0,1.1,117,28.51,29.18,1.728571429,24.5,23.9,97,0,0,0
88,24.6,24.6,23.9,84,0,0,0,0.02,3.22,0,0.33,13.43,0,0,86,28.57,29.24,1.271428571,24.7,23.1,99,0,0,0
88,25.2,25.2,24.4,82,0,0,0,0,0,0,0.33,13.43,0,1.1,207,28.65,29.32,1.242857143,23.1,23.3,99,0.2,0,0
88,23.5,23.5,23.1,84,0,0,0,0.02,0.74,0,1.07,14.17,0,0,188,28.69,29.36,1.3,24.8,23.2,98,0,0,0
88,24.7,24.7,24.5,85,0,0,0,0,0,0,1.08,14.18,0,0,166,28.68,29.35,1.328571429,25.7,23.3,99,0,0,0
88,25.3,25.3,24.9,82,0,0,0,0,0,0,1.08,14.18,0,0,158,28.67,29.34,1.285714286,25.2,24,99,0,0,0
88,25,25,24.2,80,0,0,0,0,0,0,1.08,14.18,0,0,116,28.63,29.3,1.328571429,27.1,23.4,90,0,0,0
88,27.1,31.2,25.6,80,0,0,0,0,0,0,0,14.18,0,0,145,28.61,29.28,0.328571429,27.1,24.4,94,0,0,0
88,27.4,31.7,25.5,77,0,0,0,0,0,0,0,14.18,0,0,120,28.56,29.23,0.442857143,25.2,23.5,98,0,0,0
88,25.2,25.2,24.3,82,0,0,0,0,0.57,0,0.57,0,0,1.1,90,28.55,29.22,0.642857143,25.3,22.5,99,0.7,0,0
88,26.3,26.3,25.2,81,0,0,0,0,0,0,0.57,0,0,1.1,244,28.63,29.3,1.442857143,24.5,20.4,78,0,0,0
88,24.4,24.4,20.9,70,0,0,0,0,0,0,0.59,0.02,0.2,2.2,164,28.7,29.37,0.8,23.8,20.7,83,0,0,0
88,23.8,23.8,20.2,69,0,0,0,0,0,0,0.59,0.02,0,1.1,150,28.72,29.39,0.685714286,23,20.2,84,0,0,0
88,22.5,22.5,19.5,70,0,0,0,0,0,0,0.59,0.02,0,0,159,28.72,29.39,1.585714286,23.5,18.8,85,0,0,0
88,23.5,23.5,20.9,72,0,0,0,0,0,0,0,0.02,0,1.1,167,28.72,29.39,1.2,23.1,19.7,89,0,0,0
88,22.2,22.2,21.2,74,0,0,0,0,0,0,0,0.02,0,0,141,28.76,29.43,1.442857143,25.3,22.2,83,0,0,0
88,24.8,24.8,22.4,73,0,0,0,0,0,0,0,0.02,0,1.1,179,28.73,29.4,1.6,25,22.3,85,0,0,0
88,24.6,24.6,22.4,74,0,0,0,0,0,0,0,0.02,0,1.1,163,28.71,29.38,1.371428571,23.8,21.9,89,0,0,0
88,23.7,23.7,21.4,74,0,0,0,0,0,0,0,0.02,0,1.1,157,28.68,29.35,1.028571429,24.2,21.9,87,0,0,0
88,23.7,23.7,21.6,73,0,0,0,0,0,0,0,0.02,0,1.1,152,28.65,29.32,1.985714286,25.2,22.9,87,0,0,0
88,25.1,25.1,22.2,72,0,0,0,0,0,0,0,0.02,0,1.1,180,28.68,29.35,1.128571429,24.8,22.9,89,0,0,0
88,24.5,24.5,22.4,75,0,0,0,0,0,0,0,0.03,0,0,141,28.53,29.33,0.742857143,24.8,22.9,89,0,0,0
88,24.8,24.8,23.1,75,0,0,0,0,0,0,0,0.03,0,0,141,28.51,29.31,1.971428571,24.7,21.8,89,0,0,0
88,25.5,25.5,23.7,75,0,0,0,0,0,0,0,0.03,0,0,155,28.54,29.34,2.485714286,25.8,23.8,89,0,0,0
88,25.5,25.5,24.6,81,0,0,0,0,0,0,0.02,0.05,0,0,142,28.69,29.34,1.214285714,25.5,23.8,97,0,0,0
88,24.1,24.1,23.8,83,0,0,0,0.72,0.83,0,0.72,0.88,0,0,167,28.73,29.39,1.771428571,25.5,23.1,96,0.3,0,0
88,25.1,25.1,24.3,79,0,0,0,0,0,0,0.72,0.88,0,0,136,28.72,29.37,1.3,25.5,23.6,98,1.6,0,0
88,23.9,23.9,22.7,77,0,0,0,0,0,0,0.72,0.88,0,0,169,28.71,29.36,2.1,24.3,22.4,99,0,0,0
88,23.5,23.5,21.8,75,0,0,0,0,0,0,0.73,0.89,0,0,163,28.72,29.37,0.685714286,25.3,22.8,99,0.2,0,0
88,23.3,23.3,21.2,75,0,0,0,0,0,0,0.75,0.91,0,1.1,146,28.72,29.37,1.6,24.2,21.1,82,0,0,0
88,22.3,22.3,21.3,76,0,0,0,0,0,0,0.75,0.91,0,0,135,28.66,29.31,0.971428571,24,20.7,89,0,0,0
88,24.6,24.6,23.6,77,0,0,0,0,0,0,0.75,0.91,0,0,135,28.59,29.24,1.871428571,23.8,21.4,98,0,0,0
88,25.4,25.4,23.2,74,0,0,0,0,0,0,0,0.91,0,1.1,117,28.51,29.16,0.828571429,23.2,20.5,96,0,0,0
88,23.4,23.4,21.6,78,0,0,0,0,0.04,0,0.04,0.95,0,0,186,28.51,29.17,1.742857143,24.7,22.2,95,0,0,0
88,24.6,24.6,22.2,73,0,0,0,0,0,0,0.04,0.95,0,0,169,28.6,29.25,1.157142857,25.2,23.1,88,0,0,0
88,23.6,23.6,22.6,76,0,0,0,0,0,0,0.04,0.95,0,0,143,28.66,29.31,1.814285714,23.8,22.1,90,0,0,0
88,23.7,23.7,22.3,75,0,0,0,0,0,0,0.04,0.95,0,0,132,28.68,29.33,0.814285714,25.1,20.8,77,0,0,0
88,24.3,24.3,23.6,78,0,0,0,0,0,0,0.04,0,0,0,155,28.66,29.31,1.528571429,25.1,23.2,89,0,0,0
88,23.6,23.6,20.4,70,0,0,0,0,0,0,0.04,0,0.2,2.2,138,28.7,29.36,1.642857143,23.6,21.1,92,0,0,0
88,21.5,21.5,18.9,71,0,0,0,0,0,0,0,0,0,0,162,28.77,29.42,1.4,24.8,22.6,97,0,0,0
88,23,23,19.9,69,0,0,0,0,0,0,0,0,0,0,169,28.75,29.41,0.285714286,23.8,20.3,81,0,90,7.6
88,23.7,23.7,21.3,74,0,0,0,0,0,0,0,0,0.1,1.1,168,28.77,29.42,1,21.8,19.5,87,0,0,0
88,22.9,22.9,19.7,71,0,0,0,0,0,0,0.03,0.03,0.1,1.1,172,28.79,29.44,1.771428571,23.2,20.5,85,0,0,0
88,22.3,22.3,20.7,73,0,0,0,0,0,0,0,0.03,0,0,159,28.66,29.31,1.314285714,24.1,21.4,85,0,0,0
88,24.9,24.9,22.6,73,0,0,0,0,0,0,0,0.03,0,0,166,28.67,29.32,0.828571429,22.7,19.9,84,0,0,0
88,25.2,25.2,23.6,75,0,0,0,0,0,0,0,0.03,0,0,113,28.65,29.31,1.585714286,23.2,20.3,84,0,0,0
88,24.8,24.8,23.5,75,0,0,0,0,0,0,0,0.03,0,0,120,28.63,29.29,1.671428571,21.7,19.4,87,0,0,0
88,24.5,24.5,22.2,87,0,0,0,0,0,0,0,0.03,0,0,142,28.65,29.3,1.728571429,21,19.1,89,0,0,0
88,21.1,21.1,18.5,85,0,0,0,0,0,0,0,0.03,0,0,173,28.72,29.37,0.714285714,19.3,15.9,83,0,0,0
88,22.4,22.4,19.6,84,0,0,0,0,0,0,0,0.03,0,0,170,28.76,29.41,1.571428571,21,17.3,80,0,0,0
