Time,Temperature(℃),Feels Like(℃),Dew Point(℃),Humidity(%),Solar(W/m²),UVI,Rain Rate(in/hr),Daily(in),Event(in),Hourly(in),Weekly(in),Monthly(in),Wind Speed(mph),Wind Gust(mph),Wind Direction(º),Relative(inHg),Absolute(inHg),Weather Condition,temp,dwpt,rhum,prcp,wdir,wspd
88,28.3,32.4,23.9,69,246.1,2,0,0,0,0,0,3.87,0.6,3.4,75,28.57,29.24,43.28571429,27.8,23.8,79,0,250,3.6
88,29.2,34.5,24.6,70,314.2,3,0,0,0,0,0,3.87,0.6,2.2,85,28.57,29.24,46.71428571,29,24.6,77,0,0,0
88,30.8,37.5,25.1,69,426.6,4,0,0,0,0,0,3.87,0.6,2.2,68,28.56,29.23,39,26.8,24,84,0,0,0
88,27.3,31.7,25.8,80,80.8,0,0,0,0,0,0,3.87,0.6,3.4,130,28.62,29.3,41.57142857,25.3,24,85,0,0,0
88,26.2,26.2,24.2,77,128.2,1,0,0.61,0.61,0,0.61,4.48,0.1,1.1,134,28.65,29.32,50.71428571,27.3,24.4,84,0,283,6.8
88,27.2,30.7,24.5,77,149.2,1,0,0,0,0,0.61,4.48,0.3,1.1,73,28.6,29.27,38.85714286,25,24.6,93,2,0,0
88,25.9,25.9,25.2,83,213.9,2,0.05,0.47,1.91,0,2.52,6.39,0,1.1,120,28.53,29.2,41.71428571,24.8,24.3,87,0,100,3.6
88,24.8,24.8,24.4,85,7.8,0,0.92,2.1,4.01,0.3,2.1,8.49,0,0,115,28.53,29.2,45.42857143,27,24.5,86,0,0,0
88,29.6,36.2,25.6,76,433.5,4,0,0,4.03,0,2.12,8.51,0.5,2.2,278,28.5,29.18,36.42857143,27.3,24.8,86,0.3,0,0
88,28.9,35.1,25.7,78,401.1,3,0,0.19,0.63,0,2.75,9.14,0.2,1.1,189,28.54,29.21,40.85714286,26.6,24.4,89,0,360,5.4
88,25.8,25.8,24.7,83,136,1,0.12,0.75,1.7,0,3.82,10.21,0.8,4.5,183,28.49,29.16,68.57142857,27.8,24.4,82,0,330,13
88,27.7,32.6,25.7,81,184.7,1,0,0,0,0,3.82,10.21,0.2,2.2,285,28.45,29.12,31,23.7,24.4,92,2,0,0
88,28.7,34.8,25.9,75,0,0,0,0,0,0,3.82,10.21,0,0,319,28.4,29.07,38.57142857,25.7,23.9,90,0,0,0
88,24.3,24.3,23.5,82,68.9,0,0.07,0.28,0.67,0.02,4.49,10.88,0.1,1.1,278,28.44,29.11,58.85714286,26.6,24.4,88,0,210,1.8
88,26.2,26.2,24.7,83,114.6,1,0,0.1,1.36,0,5.18,11.57,0,0,130,28.52,29.19,38.71428571,25.3,23.7,88,0,0,0
88,26.6,28.5,25.4,83,152.6,1,0,0,2.89,0,0,13.1,0,1.1,115,28.54,29.21,44.28571429,25.7,23.9,90,0,0,0
88,26.8,29.1,24.8,82,192.2,1,0,0.02,3.22,0,0.33,13.43,0.2,2.2,78,28.63,29.3,34.71428571,24.2,23.3,94,0.3,0,0
88,25.9,25.9,24.3,81,80.3,0,0,0,0,0,0.33,13.43,0.3,2.2,166,28.71,29.38,40,26.7,24.4,87,0,0,0
88,25.3,25.3,23.9,82,159.2,1,0,0.03,0.75,0,1.08,14.18,0,1.1,141,28.75,29.43,52.28571429,28.8,24.8,79,0,330,1.8
88,29.6,35.2,24.7,77,428.3,4,0,0,0,0,1.08,14.18,0.6,2.2,148,28.73,29.4,45.28571429,29.2,24.3,75,0.3,0,0
88,31.7,39.4,25.5,72,411,4,0,0,0,0,1.08,14.18,0.4,2.2,179,28.7,29.37,30,29.2,25.6,81,0,0,0
88,28.6,34.4,25.6,78,281.1,2,0,0,0,0,1.08,14.18,0.1,1.1,115,28.7,29.37,39.57142857,28.2,25,83,0,230,7.6
88,31.9,41.8,26.8,72,398.9,3,0,0,0,0,0,14.18,0.3,2.2,111,28.66,29.33,51.28571429,26.3,24,87,0,150,3.6
88,28.9,34.9,25.6,75,119.5,1,0,0,0,0,0,14.18,0.2,1.1,72,28.62,29.29,33,25.1,22.6,91,0.1,0,0
88,27.4,31.3,24.7,77,380.9,3,0,0,0.57,0,0.57,0,0.6,4.5,134,28.62,29.29,36,26.1,20.9,73,0,0,0
88,25.5,25.5,24.2,80,486.8,4,0,0.02,0.02,0,0.59,0.02,0.6,2.2,181,28.71,29.38,38.42857143,26.2,20.5,71,0,100,3.6
88,27.4,29.6,21.6,66,546.8,5,0,0,0,0,0.59,0.02,1.3,6.9,160,28.76,29.43,46,25.7,20,71,0,0,0
88,26.5,27.5,20.6,64,396.5,3,0,0,0,0,0.59,0.02,0.9,3.4,148,28.77,29.44,40.14285714,26.3,21.7,76,0,0,0
88,27.6,29.1,19.8,62,385.8,3,0,0,0,0,0.59,0.02,1,3.4,168,28.75,29.42,47.85714286,27,20.8,69,0,350,1.8
88,28.1,30.5,21.4,64,360.6,3,0,0,0,0,0,0.02,0.7,3.4,179,28.77,29.44,39.28571429,28.1,22.3,71,0,30,5.4
88,28.7,31.7,22.2,67,381.2,3,0,0,0,0,0,0.02,0.7,2.2,192,28.8,29.47,41.28571429,27.3,21.6,71,0,80,3.6
88,28.5,31.7,22.6,65,421.6,4,0,0,0,0,0,0.02,1.4,3.4,201,28.77,29.44,51.42857143,25.6,20.6,74,0,60,1.8
88,28.7,32,22.6,67,327.1,3,0,0,0,0,0,0.02,1,3.4,182,28.74,29.41,36,27,21.7,73,0,80,3.6
88,27.3,29,20.9,64,318.9,3,0,0,0,0,0,0.02,0.7,3.4,159,28.72,29.39,39.14285714,28,22.7,73,0,0,0
88,28.5,31.2,21.7,65,355.9,3,0,0,0,0,0,0.02,0.7,3.4,155,28.73,29.4,38.42857143,28.1,22.1,70,0,60,5.4
88,29.3,33.1,22.9,65,387.2,3,0,0,0,0,0,0.02,1.6,6.9,175,28.73,29.4,45.42857143,28,22,70,0,80,3.6
88,29.3,32.8,22.5,66,364.6,3,0,0,0,0,0,0.03,1,4.5,158,28.58,29.38,42.14285714,28.2,22.7,72,0,40,3.6
88,29.5,34,23.6,67,370.1,3,0,0,0,0,0,0.03,1.1,4.5,147,28.59,29.39,37,28.7,23.6,74,0,100,5.4
88,29.1,34,24.4,71,335.4,3,0,0,0,0,0,0.03,0.5,3.4,138,28.61,29.41,40.71428571,28.6,23.1,72,0,0,0
88,27.4,31.1,24.4,76,173.8,1,0,0,0,0,0.02,0.05,0.5,2.2,169,28.73,29.38,49,28.1,24.1,79,0,100,5.4
88,27.1,30.3,24.1,77,280.6,2,0,0.72,0.83,0,0.72,0.88,0.7,3.4,142,28.8,29.45,38.85714286,27.6,24.5,83,0,90,5.4
88,29.9,35.6,24.6,71,340.6,3,0,0,0,0,0.72,0.88,0.5,2.2,165,28.77,29.42,40.57142857,27.5,23.1,92,0,0,0
88,29.4,34.1,23.9,70,451.5,4,0,0,0,0,0.72,0.88,0.5,2.2,174,28.73,29.38,41.57142857,28.7,22.7,70,0,50,3.6
88,29,32.4,22.5,67,410.2,3,0,0,0,0,0.73,0.89,0.9,3.4,168,28.77,29.42,66,26.6,22.9,80,0,360,3.6
88,27.4,29.6,21.6,67,352.6,3,0,0,0,0,0.75,0.91,0.8,4.5,147,28.76,29.42,37,27.7,22.4,73,0,50,1.8
88,28,31.1,22.7,69,319.9,3,0,0,0,0,0.75,0.91,0.5,3.4,143,28.7,29.36,40.57142857,26.7,21.2,72,0,0,0
88,27.1,28.7,21.6,70,298.4,2,0,0,0,0,0.75,0.91,1.2,5.8,139,28.64,29.29,45.14285714,27.5,21.3,69,0,0,0
88,26.4,26.8,23.5,74,129.6,1,0,0,0,0,0,0.91,0.2,2.2,134,28.57,29.22,50.14285714,26.2,24.1,88,0,0,0
88,25.6,25.6,21.3,73,106.2,1,0,0,0.04,0,0.04,0.95,0.2,2.2,179,28.6,29.25,39.85714286,26.3,23.4,84,0,0,0
88,28.2,30.5,21.3,65,362.6,3,0,0,0,0,0.04,0.95,0.3,1.1,155,28.66,29.31,38.57142857,24.8,22.7,88,0,0,0
88,27.9,30.6,22.3,70,463.2,4,0,0,0,0,0.04,0.95,0.2,1.1,145,28.74,29.39,47.42857143,26.5,20.6,70,0,0,0
88,29.6,33.6,23,68,392.2,3,0,0,0,0,0.04,0.95,0.1,1.1,116,28.72,29.37,47.57142857,26.7,22.3,77,0,0,0
88,28.7,32.8,23.7,72,305.6,2,0,0,0,0,0.04,0,0.8,3.4,138,28.72,29.37,38.14285714,27.6,22.5,74,0,0,0
88,27,28.3,20.5,65,311.7,3,0,0,0,0,0.04,0,1,4.5,147,28.78,29.43,42,28.3,24.1,78,0,0,0
88,26.2,26.3,18.2,61,300.4,2,0,0,0,0,0,0,0.9,4.5,169,28.82,29.47,46.57142857,25.7,20.7,74,0,80,5.4
88,25.1,25.1,20.9,68,144.9,1,0,0,0,0,0,0,0.2,1.1,165,28.8,29.45,35,25.1,18.8,68,0,50,3.6
88,24.6,24.6,21.7,73,88.3,0,0,0,0,0,0,0,0.3,2.2,189,28.83,29.48,39.14285714,24.8,20.9,79,0,340,7.6
88,25.2,25.2,20.3,69,265,2,0,0,0,0,0.03,0.03,0.7,3.4,174,28.84,29.49,40.85714286,25.1,21.6,81,0,360,5.4
88,27.6,29.8,21.4,66,313.2,3,0,0,0,0,0,0.03,0.7,3.4,190,28.74,29.39,50.28571429,24.7,19.3,72,0,0,0
88,28.8,32.3,22.8,65,306,2,0,0,0,0,0,0.03,0.7,4.5,143,28.73,29.38,39.42857143,25.3,20.1,73,0,0,0
88,30.2,36.1,24.7,69,297.5,2,0,0,0,0,0,0.03,0,1.1,124,28.71,29.36,38.57142857,24.2,19.5,75,0,50,3.6
88,30.1,36.3,25,70,274.7,2,0,0,0,0,0,0.03,0.1,1.1,123,28.7,29.36,40.85714286,23.3,18.2,73,0,50,5.4
88,25.7,25.7,20.1,71,217,2,0,0,0,0,0,0.03,1.9,3.4,186,28.79,29.44,49.57142857,22.7,18.7,78,0,0,0
88,24.8,24.8,20.5,77,80.4,0,0,0,0,0,0,0.03,0,0,159,28.8,29.45,39.28571429,25,19.8,73,0,0,0
88,25.1,25.1,20.3,75,111.6,1,0,0,0,0,0,0.03,0.7,1.1,165,28.82,29.47,37.85714286,25,20.9,78,0,330,1.8
88,25,25,18.6,68,205.9,2,0,0,0,0,0,0.03,0.3,1.1,155,28.81,29.46,39.85714286,26.2,21.2,74,0,70,3.6
88,23.3,23.3,18,72,145.4,1,0,0,0,0,0,0.03,0.6,2.2,182,28.81,29.47,53,28.1,22.6,72,0,0,0
88,25.2,25.2,19,69,215.3,2,0,0,0,0,0,0.03,0.7,2.2,143,28.82,29.48,40,27.2,23.7,81,0,0,0
88,24.5,24.5,19.4,73,140.3,1,0,0,0,0,0,0.03,1.5,5.8,161,28.82,29.47,38.42857143,28.3,24.1,78,0,0,0
88,26.3,26.3,20.5,70,149.5,1,0,0,0,0,0,0.03,1.2,3.4,136,28.8,29.45,42.28571429,26.7,21.2,72,0,90,3.6
88,26.5,26.5,21.3,73,60.9,0,0,0,0,0,0,0.03,0.6,3.4,163,28.79,29.45,54.14285714,24.3,19.2,73,0,43,11.9
88,24.4,24.4,19.8,76,118.8,1,0,0,0,0,0,0.03,0.6,3.4,171,28.83,29.48,42.42857143,25,20.3,75,0,41,16.6
88,23.4,23.4,17,67,186.3,1,0,0,0,0,0,0.03,1.2,2.2,169,28.9,29.56,43.42857143,24,19.5,76,0,46,11.2
88,21.3,21.3,15,67,176.5,1,0,0,0,0,0,0.03,0.6,2.2,168,28.92,29.57,37.42857143,23.4,18.7,75,0,22,13
88,21.3,21.3,14.5,65,63.5,0,0,0,0,0,0,0.03,0.3,1.1,151,28.86,29.51,41.14285714,22.5,19.3,82,0,0,0
88,21.9,21.9,16.8,73,170.1,1,0,0,0,0,0,0,0.1,1.1,148,28.78,29.43,56,24.5,18.7,70,0,0,0
88,23.1,23.1,18.8,77,121,1,0,0,0,0,0,0,0.2,1.1,147,28.73,29.38,35.85714286,25.1,19,69,0,50,9.4
88,24.2,24.2,19.2,73,168.6,1,0,0,0,0,0,0,0.6,2.2,145,28.75,29.41,34.57142857,24.2,19.9,77,0,0,0
88,25,25,19.2,70,177.6,1,0,0,0,0,0,0,0.9,2.2,143,28.76,29.42,46.42857143,26.7,21,71,0,30,9.4
88,23.8,23.8,18.8,74,165.2,1,0,0,0,0,0,0,0.9,2.2,158,28.77,29.42,69.42857143,24.7,20,75,0,20,3.6
88,24,24,18.5,71,170.7,1,0,0,0,0,0,0,1,3.4,148,28.75,29.4,39.71428571,22.2,16.7,71,0,0,0
88,24.6,24.6,19.4,73,173.1,1,0,0,0,0,0,0,0.7,1.1,125,28.79,29.44,37.14285714,20.2,14.8,71,0,0,0
88,25,25,19.4,71,170.7,1,0,0,0,0,0,0,1.5,3.4,165,28.82,29.47,44.57142857,20.5,14.8,70,0,10,1.8
88,22.5,22.5,16.7,70,166.8,1,0,0,0,0,0,0,1,3.4,171,28.82,29.47,37,20.5,15.9,75,0,76,10.1
88,22.3,22.3,17.9,76,132.7,1,0,0,0,0,0,0,0.7,2.2,144,28.76,29.41,38.42857143,23,18.1,74,0,50,3.6
88,24.8,24.8,20,75,101.9,0,0,0,0,0,0,0,1,3.4,180,28.74,29.39,38.57142857,23.2,18.7,76,0,20,3.6
88,24.9,24.9,19.7,73,196,1,0,0,0,0,0,0,0.8,2.2,215,28.74,29.39,34.85714286,24,19.1,74,0,60,5.4
88,24,24,18.1,70,62.1,0,0,0,0,0,0,0,0.1,1.1,152,28.79,29.44,37.85714286,23.6,18.7,74,0,30,3.6
88,22.3,22.3,15.6,66,81.1,0,0,0,0,0,0,0,0.8,2.2,166,28.87,29.52,48.85714286,24.1,17.8,68,0,90,5.4
88,20.5,20.5,13.4,64,141.9,1,0,0,0,0,0,0,1.1,3.4,144,28.93,29.58,40.85714286,24.2,19.9,77,0,0,0
88,19.9,19.9,12.9,64,158.6,1,0,0,0,0,0,0,0.3,1.1,109,28.96,29.62,37,24.5,19.3,73,0,80,14.8
88,20.3,20.3,13.8,66,149.5,1,0,0,0,0,0,0,0.4,1.1,207,28.9,29.55,47.71428571,21.5,16.9,75,0,360,7.6
88,21.3,21.3,15.4,69,147.6,1,0,0,0,0,0,0,0.9,3.4,160,28.89,29.55,43.57142857,22.2,18.4,79,,0,0
88,19.2,19.2,14.9,76,125.2,1,0,0,0,0,0,0,0.2,1.1,170,28.87,29.52,42,23.3,20.1,82,,0,0
88,19.6,19.6,14,70,146,1,0,0,0,0,0,0,0.2,1.1,156,28.86,29.51,42.71428571,,,,,,
88,17.9,17.9,14,78,115.8,1,0,0,0,0,0,0,0,0,151,28.88,29.53,46.28571429,24.1,17.6,67,,60,5.4
88,17.8,17.8,13,73,122.9,1,0,0,0,0,0,0,0.1,1.1,145,28.85,29.5,42.14285714,22.1,15.9,68,0,0,0
88,18.8,18.8,14.2,74,113.2,1,0,0,0,0,0,0,0.3,1.1,199,28.9,29.56,47.71428571,17.3,14.2,82,0,0,0
88,20.7,20.7,16.7,78,52.6,0,0,0,0,0,0,0,0,1.1,153,28.89,29.55,46.14285714,17,12.9,77,0,330,11.2
88,22.9,22.9,16.9,69,86.7,0,0,0,0,0,0,0,0.5,1.1,180,28.91,29.57,42.28571429,19.3,15.4,78,0,0,0
88,23.5,23.5,16.2,64,143.6,1,0,0,0,0,0,0,0.3,1.1,131,28.96,29.61,48.71428571,18.6,14.5,77,0,0,0
