Time,Temperature(℃),Feels Like(℃),Dew Point(℃),Humidity(%),Solar(W/m²),UVI,Rain Rate(in/hr),Daily(in),Event(in),Hourly(in),Weekly(in),Monthly(in),Wind Speed(mph),Wind Gust(mph),Wind Direction(º),Relative(inHg),Absolute(inHg),Weather Condition,temp,dwpt,rhum,prcp,wdir,wspd
88,32.5,39.5,24.7,59,693,6,0,0,0,0,0,3.87,1.3,4.5,83,28.58,29.25,29.4,30.8,24,67,0,220,11.2
88,32.8,40.3,25,60,444.2,4,0,0,0,0,0,3.87,0.7,3.4,75,28.57,29.24,33.45714286,31.3,25.2,70,0,250,9.4
88,35.1,43.9,25.3,55,866.6,8,0,0,0,0,0,3.87,0.7,2.2,78,28.57,29.24,30.52857143,29.6,26,81,0.2,0,0
88,30.9,38.9,26,71,353.5,3,0,0,0,0,0,3.87,0.1,1.1,111,28.63,29.3,31.37142857,27.7,24.7,84,0,0,0
88,29,34.6,25,72,377,3,0,0.61,0.61,0,0.61,4.48,0.1,2.2,93,28.65,29.32,32.57142857,28,25,84,0,0,0
88,30.5,37.5,25.3,69,320.6,3,0,0,0,0,0.61,4.48,0.1,1.1,158,28.6,29.27,29.77142857,27.2,26.1,94,0.6,0,0
88,28.7,34.8,25.9,77,251,2,0,0.47,1.91,0,2.52,6.39,0.1,2.2,76,28.54,29.21,32.92857143,25.2,24.9,98,0.2,190,1.8
88,25.2,25.2,24.5,84,105.9,1,0,2.12,4.03,0,2.12,8.51,0,1.1,105,28.51,29.18,33.6,29,25.4,81,0,280,7.6
88,32.6,41.7,26.1,65,620.1,6,0,0,0,0,2.12,8.51,0.7,3.4,129,28.5,29.17,29.21428571,30.7,23.9,67,0,350,3.6
88,33.1,42.3,26,64,786,7,0,0.19,0.63,0,2.75,9.14,0.6,2.2,155,28.52,29.19,32.47142857,28.1,25.7,87,0.2,10,13
88,30,36.9,25.5,73,707.6,6,0,0.75,1.7,0,3.82,10.21,1.1,4.5,210,28.48,29.15,24,30.3,25.1,74,0,340,9.4
88,30.9,39.1,26.1,72,425.4,4,0,0,0,0,3.82,10.21,0.9,3.4,302,28.44,29.12,27.75714286,25,24.3,96,0.4,270,3.6
88,25.3,25.3,24.1,82,153.7,1,0.05,0.31,0.7,0.01,4.52,10.91,0.3,1.1,291,28.46,29.13,32.32857143,28.5,25.1,82,0,150,1.8
88,28.2,33.5,25.6,80,322.1,3,0,0.1,1.36,0,5.18,11.57,0.1,1.1,77,28.54,29.21,29.51428571,28.6,25.8,85,0.5,180,3.6
88,29.2,35.9,25.9,76,453.6,4,0,0,2.89,0,0,13.1,0.1,1.1,100,28.56,29.23,32.37142857,27.5,24.6,84,0.1,230,3.6
88,27.9,32.2,24.7,78,272.1,2,0,0.02,3.22,0,0.33,13.43,0.2,2.2,71,28.65,29.32,32.15714286,29,24.8,78,0.4,40,5.4
88,28.5,33.4,24.7,75,354.2,3,0,0,0,0,0.33,13.43,0.5,2.2,177,28.7,29.37,27.5,26.5,24.3,88,0.3,340,9.4
88,28,32.2,24.4,75,451.6,4,0,0.03,0.75,0,1.08,14.18,0.2,2.2,178,28.76,29.44,32.4,30.5,24.9,72,0,0,0
88,32,38.6,24.6,63,811.2,7,0,0,0,0,1.08,14.18,1,3.4,167,28.73,29.4,30.31428571,32.3,25.9,69,0,0,0
88,32.2,40.2,25.5,63,237.4,2,0,0,0,0,1.08,14.18,0.2,2.2,175,28.72,29.39,32.1,31.7,25.8,71,0.6,160,11.2
88,33.5,42.8,26,65,749.8,7,0,0,0,0,1.08,14.18,0.3,2.2,117,28.7,29.37,29.1,32.9,26.2,68,0,0,0
88,35.4,47.3,27,59,739.6,7,0,0,0,0,0,14.18,0.3,2.2,124,28.66,29.33,29.72857143,31,26.3,76,0.5,230,5.4
88,31.3,39.9,26.2,70,295.1,2,0,0,0,0,0,14.18,0.3,2.2,99,28.61,29.28,32.94285714,29.8,25.3,77,0.1,0,0
88,31.6,39.7,25.7,67,910.8,8,0,0,0.57,0,0.57,0,0.3,3.4,120,28.63,29.3,32.44285714,29.1,24.9,78,0,70,3.6
88,30.5,37.2,25.3,67,925,9,0,0.02,0,0,0.59,0.02,1.3,4.5,151,28.71,29.38,29.78571429,28.5,21,64,0.7,70,11.2
88,30.3,33.8,22,55,710.5,6,0,0,0,0,0.59,0.02,1.7,5.8,148,28.77,29.44,29.34285714,29.5,20.4,58,0,30,9.4
88,30.8,33.5,21.1,53,697.3,6,0,0,0,0,0.59,0.02,1,4.5,161,28.79,29.46,33,29.8,17.6,48,0,330,13
88,30.8,31.7,18.1,46,697.3,6,0,0,0,0,0.59,0.02,2,6.9,175,28.75,29.42,27.94285714,30.5,20.4,55,0,30,7.6
88,31.9,34.3,20.4,49,666,6,0,0,0,0,0,0.02,1.4,4.5,214,28.77,29.44,28.8,30.8,21.9,59,0,30,9.4
88,32.7,36.1,21.4,51,692.2,6,0,0,0,0,0,0.02,1.7,6.9,187,28.79,29.46,33.47142857,31.3,22.9,61,0,70,9.4
88,31.9,36.6,22.9,54,660.6,6,0,0,0,0,0,0.02,2.2,6.9,190,28.77,29.44,31.8,30.9,22,59,0,360,7.6
88,32,36.3,22.6,54,634.1,6,0,0,0,0,0,0.02,1.6,5.8,178,28.74,29.41,31.71428571,30.2,21.6,60,0,100,7.6
88,31.5,34.1,20.8,51,650.8,6,0,0,0,0,0,0.02,1.2,5.8,148,28.73,29.4,29.97142857,30.3,22.5,63,0,100,9.4
88,31.7,34.9,21.4,51,659.1,6,0,0,0,0,0,0.02,1.6,5.8,173,28.75,29.42,28.42857143,31.5,22,57,0,60,9.4
88,32.6,38.3,23.6,54,706.6,6,0,0,0,0,0,0.02,2,5.8,187,28.75,29.42,28.81428571,29.5,23,68,0,70,5.4
88,33,36.8,21.8,51,671.1,6,0,0,0,0,0,0.03,1.6,6.9,153,28.6,29.4,32.9,30.9,21.7,58,0,40,9.4
88,33.6,39.8,23.8,54,680,6,0,0,0,0,0,0.03,1.5,4.5,170,28.6,29.4,25.34285714,31.6,23.4,62,0,30,3.6
88,32.8,39.1,24.2,57,629.1,6,0,0,0,0,0,0.03,2.1,8.1,136,28.63,29.43,29.25714286,31.8,24.4,65,0,170,5.4
88,29.6,35,24.6,68,329.7,3,0,0,0,0,0.02,0.05,1.5,6.9,172,28.75,29.4,29.55714286,31.4,24,65,0,70,7.6
88,30.7,36.3,24.2,64,780,7,0,0.72,0.83,0,0.72,0.88,1.4,4.5,141,28.8,29.45,31.24285714,32,25.6,69,0,40,3.6
88,32.8,39.2,24.2,58,657.4,6,0,0,0,0,0.72,0.88,1.1,4.5,150,28.77,29.42,25.01428571,28.8,23.9,75,0.2,100,11.2
88,33.2,39,23.6,55,681.9,6,0,0,0,0,0.72,0.88,1.9,5.8,178,28.74,29.39,31.31428571,29,24.8,78,0,110,5.4
88,30.3,34.3,22.7,58,314.4,3,0,0,0,0,0.73,0.89,1.2,4.5,158,28.77,29.43,31.84285714,31.3,23.7,64,0.3,110,11.2
88,30.8,34.2,21.8,55,680.7,6,0,0,0,0,0.75,0.91,1.6,4.5,180,28.74,29.4,27.92857143,30.9,23,63,0,40,11.2
88,32.1,36.8,22.9,56,668.1,6,0,0,0,0,0.75,0.91,1,3.4,178,28.69,29.34,24.31428571,29.9,21.8,62,0,80,9.4
88,31.3,33.8,20.7,52,536.6,5,0,0,0,0,0.75,0.91,0.8,3.4,139,28.61,29.27,31.14285714,29.5,21.7,63,0,0,0
88,28.4,31.5,22.5,65,474.8,4,0,0,0,0,0,0.91,0.8,3.4,157,28.58,29.24,32.95714286,30.3,23,65,0,0,0
88,30.4,33.3,21.4,60,856.7,8,0,0,0.04,0,0.04,0.95,1.2,3.4,206,28.61,29.26,31.87142857,29.6,22.8,67,0,150,3.6
88,32.4,35.8,21.4,51,660.4,6,0,0,0,0,0.04,0.95,0.9,3.4,176,28.67,29.32,30.7,28.2,24.2,79,0,70,3.6
88,33,37,22,51,797.9,7,0,0,0,0,0.04,0.95,0.7,2.2,172,28.74,29.39,29.8,28,21.3,67,0,10,7.6
88,31.8,36.9,23.3,57,652.4,6,0,0,0,0,0.04,0.95,0.3,2.2,188,28.73,29.38,32.44285714,30.2,21,58,0,40,3.6
88,33.7,40.7,24.4,58,696.2,6,0,0,0,0,0.04,0,0.5,3.4,135,28.73,29.38,33.18571429,29.5,23,68,0,330,5.4
88,30.4,31.9,19.2,51,596.6,5,0,0,0,0,0.04,0,1.7,4.5,146,28.81,29.46,28.72857143,30.3,23,65,0,180,3.6
88,30.1,31,18.1,48,591.6,5,0,0,0,0,0,0,1.2,4.5,171,28.83,29.48,32.84285714,31.2,24.6,68,0,0,0
88,30,33,21.7,57,635.2,6,0,0,0,0,0,0,1,4.5,169,28.81,29.46,32.62857143,29.5,23.2,69,0,90,11.2
88,28.8,31.7,22,65,404.6,3,0,0,0,0,0,0,1,3.4,186,28.84,29.49,33.25714286,28.7,18.2,53,0,40,9.4
88,29.4,31.7,20.9,57,446.3,4,0,0,0,0,0.03,0.03,1.6,5.8,173,28.85,29.51,28.24285714,28.5,20.5,62,0,60,5.4
88,31.3,34.9,22,55,594.4,5,0,0,0,0,0,0.03,1.5,6.9,154,28.73,29.38,32.05714286,26.5,21.9,76,0,10,5.4
88,33.1,38.6,23.3,53,601.2,5,0,0,0,0,0,0.03,0.8,3.4,163,28.72,29.37,33.31428571,28.5,20.5,62,0,40,9.4
88,35.4,44.8,25.6,56,650.9,6,0,0,0,0,0,0.03,0.2,1.1,138,28.71,29.36,31.51428571,28,20,62,0,50,16.6
88,35.2,44.6,25.7,58,557.5,5,0,0,0,0,0,0.03,0.3,1.1,126,28.72,29.37,26.01428571,28.5,18.3,54,0,60,9.4
88,32.6,36.3,21.8,53,526.4,5,0,0,0,0,0,0.03,1.2,4.5,150,28.74,29.39,32.02857143,27.8,18.8,58,0,80,9.4
88,30.5,32.9,20.7,56,530.5,5,0,0,0,0,0,0.03,0.2,1.1,129,28.8,29.45,33.91428571,28,17.8,54,0,0,0
88,29.8,32.5,21.2,60,625.5,6,0,0,0,0,0,0.03,3.5,8.1,173,28.81,29.47,30.67142857,30,18.4,50,0,110,11.2
88,29.9,31.5,19.5,54,530.8,5,0,0,0,0,0,0.03,1.7,4.5,160,28.83,29.49,27.75714286,29.5,18.3,51,0,330,9.4
88,28.9,30,18.7,54,542.9,5,0,0,0,0,0,0.03,2.3,4.5,211,28.82,29.48,32.35714286,31,21.2,56,0,70,5.4
