Time,Temperature(℃),Feels Like(℃),Dew Point(℃),Humidity(%),Solar(W/m²),UVI,Rain Rate(in/hr),Daily(in),Event(in),Hourly(in),Weekly(in),Monthly(in),Wind Speed(mph),Wind Gust(mph),Wind Direction(º),Relative(inHg),Absolute(inHg),Weather Condition,temp,dwpt,rhum,prcp,wdir,wspd
88,34.9,43.3,25.1,51,659.5,6,0,0,0,0,0,3.87,1.2,4.5,45,28.5,29.17,75.28571429,34,25.1,60,0,220,9.4
88,35.1,44,25.4,52,502.6,4,0,0,0,0,0,3.87,1,4.5,90,28.49,29.16,62.85714286,34,23.1,53,1.2,240,3.6
88,35.5,44.6,25.4,50,420.7,4,0,0,0,0,0,3.87,0.6,2.2,82,28.48,29.15,60.71428571,34,23.7,55,0,0,0
88,35.6,45,25.6,52,747.6,7,0,0,0,0,0,3.87,0.3,2.2,116,28.53,29.2,64,30.7,23.4,65,0,0,0
88,34.5,42.7,25.1,53,415.6,4,0,0.61,0.61,0,0.61,4.48,0.5,2.2,132,28.56,29.24,57.57142857,32,24.1,63,0,0,0
88,31.9,40.3,25.9,65,249.7,2,0,0,0,0,0.61,4.48,0.4,2.2,182,28.49,29.16,54.57142857,30.1,24.7,73,0.4,350,11.2
88,29,34.3,24.6,69,239.1,2,0,0.47,1.91,0,2.52,6.39,1,4.5,289,28.45,29.12,54,29.6,25.4,78,3.2,0,0
88,29.1,35.4,25.7,73,298.3,2,0,2.12,4.03,0,2.12,8.51,0.1,1.1,96,28.43,29.1,60,32.9,23.8,59,3.6,270,3.6
88,27.5,30.7,25.1,71,67.7,0,2.48,0.43,0.43,0.43,2.55,8.94,0.6,2.2,158,28.46,29.13,50.42857143,33,23.4,57,0,30,7.6
88,27.7,31,24.9,63,199.8,1,1.91,0.51,0.95,0.32,3.07,9.46,1,6.9,131,28.43,29.1,52.85714286,31.3,23.7,64,0,60,3.6
88,31.4,38.8,25.4,65,278.4,2,0,0.75,1.7,0,3.82,10.21,0.8,3.4,199,28.4,29.07,51.71428571,32.7,22.5,55,0,350,3.6
88,33.3,42.3,25.8,60,311.8,3,0,0,0,0,3.82,10.21,0.7,2.2,157,28.35,29.02,48.57142857,26.2,24.2,89,0,0,0
88,25.9,25.9,24.8,82,196.5,1,0.9,0.5,0.89,0.15,4.71,11.1,0,1.1,44,28.41,29.08,46.42857143,29.6,24,72,0.4,0,0
88,33.3,42.3,25.9,62,352.7,3,0,0.1,1.36,0,5.18,11.57,0.2,1.1,120,28.43,29.11,50.28571429,30.7,23.6,66,3.8,0,0
88,26.9,30.6,25.6,76,121.9,1,0.05,0.27,3.16,0.01,0.27,13.37,0.2,3.4,124,28.46,29.13,49.14285714,30.2,23.9,69,0,280,3.6
88,31.5,38.6,25,64,579.2,5,0,0.02,3.22,0,0.33,13.43,0.3,1.1,108,28.56,29.24,49,29.8,24,71,0.5,350,5.4
88,30,36.5,25.2,67,267.8,2,0,0,0,0,0.33,13.43,0.9,4.5,187,28.6,29.27,48.28571429,26.7,23.6,83,0,10,5.4
88,28.8,33.7,24.4,70,264.9,2,0,0.03,0.75,0,1.08,14.18,0.6,2.2,186,28.67,29.34,53.57142857,31.6,22.6,59,0,50,5.4
88,32.9,38.6,23.5,51,689.1,6,0,0,0,0,1.08,14.18,0.9,3.4,159,28.63,29.3,49.28571429,33.7,23.1,54,0,330,3.6
88,33.5,39.9,23.9,54,149.4,1,0,0,0,0,1.08,14.18,0.3,2.2,172,28.6,29.27,45,33.7,23.4,55,0.1,230,7.6
88,37,46.6,25.4,48,707.8,6,0,0,0,0,1.08,14.18,0.5,2.2,130,28.57,29.24,55.42857143,34.7,23.7,53,0,170,11.2
