"Time","Temperature(℃)","Feels Like(℃)","Dew Point(℃)","Humidity(%)","Solar(W/m²)","UVI","Rain Rate(in/hr)","Daily(in)","Event(in)","Hourly(in)","Weekly(in)","Monthly(in)","Wind Speed(mph)","Wind Gust(mph)","Wind Direction(º)","Relative(inHg)","Absolute(inHg)","Weather Condition"
"89","26.91428571","30.75714286","25.62857143","79.42857143","4.485714286","0","0","0","0","0","0","14.18","0","0.157142857","145.4285714","28.60428571","29.27428571","0"
"88","21.5","21.5","18.85714286","70","2.7","0","0","0","0","0","0","0","0","0.628571429","160.8571429","28.77142857","29.42428571","0"
"88","24.78571429","24.78571429","22.24285714","72.85714286","0.157142857","0","0","0","0","0","0","0.03","0.114285714","0.471428571","143.7142857","28.64428571","29.29428571","0"
"88","21.31428571","21.31428571","18.44285714","67.85714286","0.1","0","0","0","0","0","0","0.03","0.028571429","0.157142857","160.1428571","28.71714286","29.37","0"
"88","22.54285714","22.54285714","19.64285714","70.71428571","1.857142857","0","0","0","0","0","0","0.03","0.014285714","0.471428571","171.5714286","28.76","29.41142857","0"
"88","21.8","21.8","19.82857143","72.71428571","0.085714286","0","0","0","0","0","0","0.03","0.071428571","0.471428571","161.8571429","28.74857143","29.4","0"
"88","21.28571429","21.28571429","18.4","69.57142857","2.1","0","0","0","0","0","0","0.03","0.071428571","0.628571429","165.8571429","28.75428571","29.40714286","0"
"88","21.3","21.3","18.3","67.57142857","0.014285714","0","0","0","0","0","0","0","0.014285714","0.314285714","149","28.7","29.35","0"
"88","20.18571429","20.18571429","17.74285714","68.28571429","0.014285714","0","0","0","0","0","0","0","0","0","147.8571429","28.69428571","29.34571429","0"
"88","21.31428571","21.31428571","19.31428571","70.71428571","0.014285714","0","0","0","0","0","0","0","0.014285714","0.157142857","149.8571429","28.70571429","29.36","0"
"88","16.84285714","16.84285714","12.62857143","62.85714286","0.742857143","0","0","0","0","0","0","0","0.071428571","0.471428571","156.8571429","28.88285714","29.53857143","0"
"88","14.91428571","14.91428571","12.65714286","69","0","0","0","0","0","0","0","0","0","0","160.5714286","28.78428571","29.43571429","0"
"88","16.35714286","16.35714286","14.25714286","69.85714286","3.9","0","0","0","0","0","0","0","0","0","153.8571429","28.82","29.47","0"
"88","16.08571429","16.08571429","13.02857143","65.71428571","0","0","0","0","0","0","0","0","0","0","145.8571429","28.84571429","29.49714286","0"
"88","18.52857143","18.52857143","15.58571429","65.42857143","0.357142857","0","0","0","0","0","0","0","0","0","156","28.84","29.49285714","0"
"88","20.1","20.1","16.17142857","65","0","0","0","0","0","0","0","0","0.128571429","0.314285714","148.8571429","28.84142857","29.49714286","0"
"88","21.37142857","21.37142857","15.68571429","58.85714286","0","0","0","0","0","0","0","0","0.5","1.9","166.2857143","28.89","29.54428571","0"
"88","16.14285714","16.14285714","13.74285714","66.85714286","0","0","0","0","0","0","0","0","0.028571429","0.314285714","152.5714286","28.82857143","29.48428571","0"
"88","17.04285714","17.04285714","14.88571429","68.28571429","0","0","0","0","0","0","0","0","0","0.157142857","147.5714286","28.83571429","29.48714286","0"
"88","16.12857143","16.12857143","14.41428571","68.42857143","0","0","0","0","0","0","0","0","0","0","143.5714286","28.76428571","29.41571429","0"
"88","16.22857143","16.22857143","13.68571429","66.42857143","0","0","0","0","0","0","0","0","0","0","145.8571429","28.74","29.39285714","0"
"88","15.91428571","15.91428571","14.44285714","70.14285714","0","0","0","0","0","0","0","0","0","0","123","28.69714286","29.35142857","0"
"88","24.37142857","24.37142857","15.7","55.42857143","203.8857143","1.571428571","0","0","0","0","0","0","0.057142857","0.628571429","126","28.67714286","29.33","0"
"88","23.5","23.5","21.84285714","78.42857143","1.957142857","0","0","0","0.04","0","0.04","0.95","0","0.628571429","175.4285714","28.51428571","29.16857143","1"
"89","26.57142857","27.74285714","23.94285714","73.71428571","5.571428571","0","0","0","0","0","0","3.87","0.114285714","1.728571429","86","28.51857143","29.18857143","1"
"88","22.9","22.9","19.77142857","71.42857143","3.7","0","0","0","0","0","0.03","0.03","0.114285714","1.1","173.7142857","28.78285714","29.43428571","1"
"88","24.94285714","24.94285714","22.52857143","72","2.471428571","0","0","0","0","0","0","0.03","0","0.471428571","180.5714286","28.65857143","29.31","1"
"88","22.95714286","22.95714286","18.95714286","64.14285714","0","0","0","0","0","0","0","0.03","0.185714286","0.942857143","165","28.77285714","29.42428571","1"
"88","21.51428571","21.51428571","18.28571429","67.57142857","1.828571429","0","0","0","0","0","0","0.03","0.071428571","0.628571429","157","28.76285714","29.41428571","1"
"88","20.54285714","20.54285714","16.91428571","65.71428571","0.014285714","0","0","0","0","0","0","0.03","0.328571429","0.942857143","172.5714286","28.82142857","29.47142857","1"
"88","17.45714286","17.45714286","14.04285714","65.14285714","0.028571429","0","0","0","0","0","0","0.03","0.071428571","0.314285714","163.5714286","28.87","29.52285714","1"
"88","18.5","18.5","15.42857143","64.42857143","0","0","0","0","0","0","0","0","0","0","177","28.67714286","29.32714286","1"
"88","14.47142857","14.47142857","12.01428571","65.14285714","0","0","0","0","0","0","0","0","0","0","142.7142857","28.81428571","29.46428571","2"
"88","17.51428571","17.51428571","15.27142857","67.28571429","0.157142857","0","0","0","0","0","0","0","0","0","151","28.72285714","29.37571429","2"
"88","22.68571429","22.85714286","16.31428571","63.71428571","244.7714286","2","0","0","0","0","0","0","0.442857143","1.442857143","143.5714286","28.78285714","29.43285714","2"
"88","16.57142857","16.57142857","13.95714286","66.57142857","0","0","0","0","0","0","0","0","0.057142857","0.628571429","144.2857143","28.80285714","29.45428571","2"
"88","17.91428571","17.91428571","15.47142857","67.85714286","0","0","0","0","0","0","0","0","0.028571429","0.314285714","161.7142857","28.80857143","29.46142857","2"
"88","16.81428571","16.81428571","11.45714286","57.71428571","0","0","0","0","0","0","0","0","0.057142857","0.314285714","151.2857143","28.8","29.45142857","2"
"88","15.71428571","15.71428571","13.2","65.71428571","3.214285714","0","0","0","0","0","0","0","0","0","153.4285714","28.88714286","29.53714286","2"
"88","14.07142857","14.07142857","12.14285714","65.57142857","0","0","0","0","0","0","0","0","0","0","146","28.78142857","29.43571429","2"
"88","15.18571429","15.18571429","13.17142857","66.85714286","0","0","0","0","0","0","0","0","0","0","144","28.76","29.41428571","2"
"88","18.97142857","18.97142857","15","65","0","0","0","0","0","0","0","0","0.128571429","0.785714286","167.7142857","28.9","29.55571429","2"
"88","15.82857143","15.82857143","11.2","61","0","0","0","0","0","0","0","0","0.357142857","0.785714286","162.2857143","28.97285714","29.62428571","2"
"88","15.54285714","15.54285714","13.82857143","68.28571429","0","0","0","0","0","0","0","0","0","0","138.8571429","28.84857143","29.5","2"
"88","15.47142857","15.47142857","12.01428571","65.28571429","0","0","0","0","0","0","0","0","0.057142857","0.642857143","157","28.89428571","29.54571429","2"
"88","19.55714286","19.55714286","14","61.14285714","202.5142857","1.714285714","0","0","0","0","0","0","0.214285714","0.471428571","141.1428571","28.75","29.40285714","2"
"88","15.05714286","15.05714286","9.814285714","56.85714286","0","0","0","0","0","0","0","0","0.085714286","0.628571429","153.4285714","28.84714286","29.50142857","2"
"88","14.07142857","14.07142857","8.742857143","57","0","0","0","0","0","0","0","0","0.471428571","1.728571429","155.4285714","28.86428571","29.51428571","2"
"88","13.88571429","13.88571429","10.91428571","63.42857143","0","0","0","0","0","0","0","0","0","0","145.2857143","28.92285714","29.57571429","2"
"88","15.55714286","15.55714286","12.4","66.28571429","0","0","0","0","0","0","0","0","0.071428571","0.628571429","146.4285714","28.80285714","29.45285714","2"
"89","24.55714286","24.55714286","23.81428571","79.28571429","1.685714286","0","0","0.61","0.61","0","0.61","4.48","0","0.157142857","193.7142857","28.60714286","29.27714286","3"
"89","25.31428571","25.31428571","24.87142857","84.42857143","0.185714286","0","0.965714286","1.088571429","2.998571429","0.322857143","1.088571429","7.478571429","0.042857143","0.785714286","124.8571429","28.45857143","29.12857143","3"
"89","24.72857143","24.72857143","24.27142857","82.57142857","2","0","0","0.73","1.68","0","3.8","10.19","0","0.157142857","152","28.44285714","29.11285714","3"
"89","24.05714286","24.05714286","23.72857143","85.14285714","3.485714286","0","0.044285714","0.1","1.36","0.02","5.18","11.57","0","0","56","28.46","29.13","3"
"89","24.61428571","24.61428571","23.92857143","84","4.428571429","0","0","0.02","3.22","0","0.33","13.43","0.014285714","0.628571429","82.57142857","28.56571429","29.23571429","3"
"89","25.1","25.1","24.27142857","82","1.7","0","0","0","0","0","0.33","13.43","0.014285714","0.314285714","195.7142857","28.64857143","29.32","3"
"88","23.84285714","23.84285714","21.82857143","74.85714286","3.285714286","0","0","0","0","0","0.73","0.89","0","0.157142857","162.7142857","28.72142857","29.37428571","3"
"89","24.72857143","24.72857143","24.45714286","84.42857143","6.714285714","0","0","0","0","0","1.08","14.18","0","0","166","28.68","29.35","4"
"89","25.17142857","25.17142857","24.41428571","80","4.071428571","0","0","0","0","0","1.08","14.18","0","0","116","28.63","29.3","7"
"88","25.2","25.2","24.32857143","81.57142857","4.3","0","0","0","0.57","0","0.57","0","0.014285714","0.942857143","106.4285714","28.54285714","29.21285714","7"
"88","24","24","20.14285714","68.14285714","3.6","0","0","0","0","0","0.59","0.02","0.214285714","2.071428571","151","28.72","29.39","7"
"88","22.87142857","22.87142857","19.97142857","69.42857143","1.728571429","0","0","0","0","0","0","0","0","0.157142857","169.1428571","28.75142857","29.40571429","7"
"88","19.51428571","19.51428571","16.2","67.42857143","0","0","0","0","0","0","0","0","0.1","1.1","151","28.77428571","29.42428571","7"
"88","25.11428571","25.11428571","22.62857143","73","4.171428571","0","0","0","0","0","0","0.02","0.042857143","0.785714286","170","28.67714286","29.34714286","8"
"89","25.35714286","25.35714286","25.02857143","81.71428571","4.5","0","0","0","0","0","1.08","14.18","0","0","158","28.66142857","29.33142857","8"
"88","22.88571429","22.88571429","19.64285714","70","4.4","0","0","0","0","0","0.59","0.02","0.157142857","1.914285714","164","28.71571429","29.38571429","8"
"88","23.44285714","23.44285714","21.11428571","72","4.8","0","0","0","0","0","0","0.02","0","0.471428571","168.2857143","28.71714286","29.38714286","8"
"88","22.6","22.6","20.97142857","72.85714286","3.542857143","0","0","0","0","0","0","0.02","0","0","141","28.75428571","29.42428571","8"
"88","24.2","24.2","23.85714286","82.71428571","3.414285714","0","0","0.72","0.83","0","0.72","0.88","0","0.314285714","156.1428571","28.72428571","29.37714286","8"
"88","24.64285714","24.64285714","23.44285714","76.14285714","2.757142857","0","0","0","0","0","0.75","0.91","0","0","135","28.59","29.24","8"
"88","25.25714286","25.25714286","23.48571429","73.85714286","2.228571429","0","0","0","0","0","0","0.03","0","0.157142857","120","28.63","29.28428571","8"
"88","19.18571429","19.18571429","17.25714286","71.14285714","0","0","0","0","0","0","0","0","0","0","152.4285714","28.69571429","29.35","8"
"88","23.55714286","23.55714286","17.48571429","58.71428571","0","0","0","0","0","0","0","0","0.257142857","1.1","162.5714286","28.72142857","29.37571429","8"
"88","21.74285714","21.74285714","15.57142857","57.42857143","0","0","0","0","0","0","0","0","0.871428571","2.885714286","165.1428571","28.79714286","29.45","8"
"88","16.4","16.4","11.95714286","61.14285714","0","0","0","0","0","0","0","0","0.028571429","0.628571429","147.2857143","28.89142857","29.54428571","8"
"88","16.62857143","16.62857143","12.78571429","64","3.728571429","0","0","0","0","0","0","0","0","0","152.4285714","28.85285714","29.50714286","8"
"88","18.1","18.1","14.8","66.71428571","0","0","0","0","0","0","0","0","0.128571429","0.785714286","162.1428571","28.83428571","29.48857143","8"
"88","20.2","20.2","14.97142857","59.85714286","0","0","0","0","0","0","0","0","0","0","136.7142857","28.67571429","29.32571429","8"
"88","25.47142857","25.47142857","24.47142857","80","3.8","0","0","0","0","0","0.02","0.05","0","0.471428571","145.2857143","28.68285714","29.33571429","9"
"88","25.2","25.2","24.21428571","78.28571429","3.814285714","0","0","0","0","0","0.72","0.88","0","0","136","28.72428571","29.37428571","9"
"88","22.72857143","22.72857143","21.52857143","75.57142857","3.085714286","0","0","0","0","0","0.75","0.91","0","0","135","28.65571429","29.30714286","9"
"88","23.3","23.3","19.01428571","64.57142857","0","0","0","0","0","0","0","0","0.285714286","1.428571429","160.2857143","28.67142857","29.32571429","9"
"89","26.91428571","30.47142857","24.98571429","75.42857143","0.628571429","0","0","0","0","0","0","3.87","0.014285714","0.628571429","190","28.58","29.25","9"
"88","25.12857143","25.12857143","22.47142857","72","4.1","0","0","0","0","0","0","0.02","0.071428571","1.257142857","175.4285714","28.72285714","29.39285714","9"
"88","23.92857143","23.92857143","21.67142857","73.42857143","4.271428571","0","0","0","0","0","0","0.02","0.085714286","0.942857143","153.7142857","28.68142857","29.35142857","9"
"88","24.67142857","24.67142857","22.45714286","74.42857143","4","0","0","0","0","0","0","0.03","0.014285714","0.314285714","144.2857143","28.52857143","29.32857143","9"
"88","24.01428571","24.01428571","22.65714286","76.71428571","4.028571429","0","0","0","0","0","0.72","0.88","0","0","169","28.70714286","29.35857143","9"
"88","24.64285714","24.64285714","21.74285714","71.28571429","1.4","0","0","0","0","0","0.04","0.95","0","0","168.7142857","28.59714286","29.25","9"
"88","23.64285714","23.64285714","22.34285714","75","2.171428571","0","0","0","0","0","0.04","0.95","0","0","143.2857143","28.65857143","29.31285714","9"
"88","23.77142857","23.77142857","21.51428571","74.42857143","1.714285714","0","0","0","0","0","0","0","0.057142857","1.1","184.4285714","28.77","29.42142857","9"
"88","22.45714286","22.45714286","20.62857143","72.42857143","2.771428571","0","0","0","0","0","0","0.03","0","0","159.1428571","28.65857143","29.31285714","9"
"88","20.44285714","20.44285714","18.91428571","72.42857143","0","0","0","0","0","0","0","0","0","0","156.7142857","28.67714286","29.32714286","9"
"89","25.08571429","25.08571429","24.41428571","83.14285714","5.642857143","0","0","0","4.03","0","2.12","8.51","0.042857143","0.785714286","123.1428571","28.45285714","29.12428571","10"
"88","23.15714286","23.15714286","18.94285714","64.85714286","0.014285714","0","0","0","0","0","0","0.03","0.428571429","1.414285714","172.4285714","28.77","29.42428571","11"
"88","20.18571429","20.18571429","17.85714286","68.28571429","0.014285714","0","0","0","0","0","0","0","0","0","148.4285714","28.69857143","29.35428571","11"
"89","26.65714286","28.1","22.87142857","70.28571429","5.242857143","0","0","0","0","0","0","3.87","0.385714286","2.057142857","65","28.50285714","29.17285714","12"
"89","27.14285714","30.7","24.65714286","74.14285714","3.757142857","0","0","0","0","0","0","3.87","0","0.785714286","58.42857143","28.51428571","29.18428571","12"
"88","24.68571429","24.68571429","22.18571429","73.57142857","4.785714286","0","0","0","0","0","0","0.02","0.042857143","1.1","171.5714286","28.70571429","29.37571429","12"
"88","24.94285714","24.94285714","23.27142857","75.42857143","4.271428571","0","0","0","0","0","0","0.03","0","0","141","28.51","29.31142857","12"
"88","25.22857143","25.22857143","23","73.42857143","1.5","0","0","0","0","0","0","0.91","0.014285714","0.785714286","122.1428571","28.51142857","29.16428571","12"
"88","21.1","21.1","17.95714286","67.14285714","0.014285714","0","0","0","0","0","0","0","0.042857143","0.471428571","155.2857143","28.7","29.35428571","12"
"88","22.58571429","22.58571429","18.4","65","0.014285714","0","0","0","0","0","0","0","0.528571429","1.728571429","163.8571429","28.76","29.41","12"
"88","16.42857143","16.42857143","13.1","65.14285714","0.857142857","0","0","0","0","0","0","0","0.014285714","0.157142857","145","28.86","29.51142857","12"
"88","12.65714286","12.65714286","8","61.14285714","0.214285714","0","0","0","0","0","0","0","0.042857143","0.471428571","160.7142857","29.02","29.67428571","12"
"88","15.82857143","15.82857143","15.02857143","71.71428571","0","0","0","0","0","0","0","0","0","0","152","28.71714286","29.36857143","12"
"88","17.5","17.5","14.55714286","64","0","0","0","0","0","0","0","0","0","0","282.2857143","28.64571429","29.29714286","12"
"89","24.31428571","24.31428571","23.82857143","82.42857143","2.8","0","0.034285714","0.434285714","1.874285714","0.007142857","2.484285714","6.354285714","0.085714286","0.785714286","179.8571429","28.48285714","29.15285714","13"
"89","24.31428571","24.31428571","23.82857143","82.42857143","2.8","0","0.034285714","0.434285714","1.874285714","0.007142857","2.484285714","6.354285714","0.085714286","0.785714286","179.8571429","28.48285714","29.15285714","13"
"89","24.31428571","24.31428571","23.82857143","82.42857143","2.8","0","0.034285714","0.434285714","1.874285714","0.007142857","2.484285714","6.354285714","0.085714286","0.785714286","179.8571429","28.48285714","29.15285714","13"
"89","25.47142857","25.47142857","24.44285714","82","4.214285714","0","0","0","0","0","3.82","10.21","0.014285714","0.471428571","96.28571429","28.41571429","29.08571429","13"
"89","25.47142857","25.47142857","24.44285714","82","4.214285714","0","0","0","0","0","3.82","10.21","0.014285714","0.471428571","96.28571429","28.41571429","29.08571429","13"
"89","25.47142857","25.47142857","24.44285714","82","4.214285714","0","0","0","0","0","3.82","10.21","0.014285714","0.471428571","96.28571429","28.41571429","29.08571429","13"
"88","26.34285714","27.14285714","25.21428571","80.42857143","0.471428571","0","0","0","0","0","0.57","0","0.171428571","1.6","180.7142857","28.63571429","29.30571429","13"
"88","26.34285714","27.14285714","25.21428571","80.42857143","0.471428571","0","0","0","0","0","0.57","0","0.171428571","1.6","180.7142857","28.63571429","29.30571429","13"
"88","26.34285714","27.14285714","25.21428571","80.42857143","0.471428571","0","0","0","0","0","0.57","0","0.171428571","1.6","180.7142857","28.63571429","29.30571429","13"
"88","23.48571429","23.48571429","21.41428571","75.14285714","5.542857143","0","0","0","0","0","0.75","0.91","0.014285714","1.1","146.1428571","28.72571429","29.37857143","13"
"88","23.48571429","23.48571429","21.41428571","75.14285714","5.542857143","0","0","0","0","0","0.75","0.91","0.014285714","1.1","146.1428571","28.72571429","29.37857143","13"
"88","23.48571429","23.48571429","21.41428571","75.14285714","5.542857143","0","0","0","0","0","0.75","0.91","0.014285714","1.1","146.1428571","28.72571429","29.37857143","13"
"88","23.61428571","23.61428571","22.32857143","75.14285714","2.6","0","0","0","0","0","0.04","0.95","0","0.157142857","132","28.67714286","29.32714286","13"
"88","23.61428571","23.61428571","22.32857143","75.14285714","2.6","0","0","0","0","0","0.04","0.95","0","0.157142857","132","28.67714286","29.32714286","13"
"88","23.61428571","23.61428571","22.32857143","75.14285714","2.6","0","0","0","0","0","0.04","0.95","0","0.157142857","132","28.67714286","29.32714286","13"
"88","17.15714286","17.15714286","15.78571429","70.14285714","0.014285714","0","0","0","0","0","0","0","0","0","154","28.72571429","29.37714286","13"
"88","17.15714286","17.15714286","15.78571429","70.14285714","0.014285714","0","0","0","0","0","0","0","0","0","154","28.72571429","29.37714286","13"
"88","17.15714286","17.15714286","15.78571429","70.14285714","0.014285714","0","0","0","0","0","0","0","0","0","154","28.72571429","29.37714286","13"
"89","23.51428571","23.51428571","23.1","83.85714286","1.628571429","0","0","0.02","0.74","0","1.07","14.17","0","0","182.2857143","28.68714286","29.35714286","14"
"88","24.52857143","24.52857143","20.7","69.28571429","2.714285714","0","0","0","0","0","0.59","0.02","0.5","3.057142857","160.7142857","28.69714286","29.36714286","14"
"89","24.48571429","24.48571429","22.31428571","76.42857143","1.071428571","0","0.078571429","0.057142857","0.447142857","0.028571429","4.267142857","10.65714286","0.514285714","3.2","251","28.39857143","29.06857143","14"
"89","24.9","24.9","24.65714286","84","3.157142857","0","0","0","2.89","0","0","13.1","0","0.157142857","117","28.50714286","29.17857143","14"
"89","26.07142857","26.07142857","24.5","79.57142857","3.028571429","0","0","0","0","0","0.61","4.48","0.128571429","1.414285714","91","28.54714286","29.21714286","16"
"89","24.91428571","24.91428571","24.38571429","84","6.4","0","0.238571429","0.161428571","0.601428571","0.028571429","2.721428571","9.111428571","0.042857143","0.471428571","161.4285714","28.47571429","29.14714286","16"
"89","27.52857143","32.17142857","25.62857143","77.14285714","3.185714286","0","0","0","0","0","0","14.18","0.028571429","0.942857143","101.2857143","28.55428571","29.22428571","16"
"88","23.91428571","23.91428571","21.62857143","72.71428571","4.314285714","0","0","0","0","0","0","0.02","0.014285714","1.257142857","152.5714286","28.65428571","29.32428571","16"
"88","25.7","25.7","23.74285714","75.14285714","2.671428571","0","0","0","0","0","0","0.03","0.014285714","0.628571429","151.7142857","28.53285714","29.33285714","16"
"88","24.38571429","24.38571429","23.55714286","77.28571429","2.385714286","0","0","0","0","0","0.04","0","0","0","155","28.65285714","29.30428571","16"
"88","23.67142857","23.67142857","20.68571429","71","3.014285714","0","0","0","0","0","0.04","0","0.242857143","2.071428571","150.4285714","28.70428571","29.35571429","16"
"88","25.35714286","25.35714286","23.52857143","73.85714286","2.714285714","0","0","0","0","0","0","0.03","0","0","113","28.65","29.30285714","16"
"88","21.75714286","21.75714286","18.22857143","66.85714286","0.085714286","0","0","0","0","0","0","0.03","0.142857143","0.471428571","152.4285714","28.75","29.40142857","16"
"88","22.65714286","22.65714286","19.57142857","70","1.842857143","0","0","0","0","0","0","0.03","0","0","174","28.74142857","29.39714286","16"
"88","24.21428571","24.21428571","20.52857143","67.14285714","0.028571429","0","0","0","0","0","0","0.03","0.071428571","0.628571429","158.8571429","28.74","29.39142857","16"
"88","22.42857143","22.42857143","19.35714286","69.28571429","0.014285714","0","0","0","0","0","0","0.03","0.057142857","0.471428571","162.2857143","28.75","29.40571429","16"
"88","16.72857143","16.72857143","13.94285714","68.57142857","0.014285714","0","0","0","0","0","0","0.03","0","0","160.2857143","28.80857143","29.46285714","16"
"88","19.04285714","19.04285714","18.08571429","72.57142857","0.014285714","0","0","0","0","0","0","0","0","0","142","28.66571429","29.31857143","16"
"88","15.94285714","15.94285714","13.98571429","68","0","0","0","0","0","0","0","0","0","0","158.8571429","28.81428571","29.46571429","16"
"88","15.91428571","15.91428571","13.48571429","69.14285714","0","0","0","0","0","0","0","0","0.014285714","0.157142857","138.8571429","28.78714286","29.44142857","16"
"88","16.22857143","16.22857143","13.52857143","67.42857143","0","0","0","0","0","0","0","0","0","0","154","28.81428571","29.46714286","16"
"88","16.05714286","16.05714286","12.45714286","62.85714286","0","0","0","0","0","0","0","0","0.028571429","0.471428571","159.7142857","28.90285714","29.55571429","16"
"88","15.8","15.8","11.87142857","62.57142857","0.357142857","0","0","0","0","0","0","0","0.028571429","0.157142857","147.4285714","28.82","29.47","16"
