"Time","Temperature(℃)","Feels Like(℃)","Dew Point(℃)","Humidity(%)","Solar(W/m²)","UVI","Rain Rate(in/hr)","Daily(in)","Event(in)","Hourly(in)","Weekly(in)","Monthly(in)","Wind Speed(mph)","Wind Gust(mph)","Wind Direction(º)","Relative(inHg)","Absolute(inHg)","Weather Condition"
"89","27.71666667","31.32857143","23.42857143","69","0","0","0","0","0","0","0","3.87","0.88","4.1","58.6","28.502","29.174","0"
"89","24.78571429","25.18571429","23.62857143","76.42857143","0","0","0.377142857","0.53","0.53","0.105714286","0.53","4.4","0.228571429","1.271428571","151.5714286","28.62142857","29.29142857","0"
"88","23.38571429","23.38571429","19.67142857","66.57142857","0","0","0","0","0","0","0","0.03","0.028571429","0.471428571","155.4285714","28.75142857","29.40571429","0"
"88","22.2","22.2","18.55714286","65.71428571","0","0","0","0","0","0","0","0.03","0.128571429","0.628571429","165.7142857","28.75","29.40428571","0"
"88","22.22857143","22.22857143","18.58571429","65.28571429","0","0","0","0","0","0","0","0.03","0.114285714","0.471428571","152.1428571","28.75571429","29.40714286","0"
"88","23.21428571","23.21428571","19.95714286","67.42857143","0","0","0","0","0","0","0","0.03","0.014285714","0.157142857","165.4285714","28.75285714","29.40428571","0"
"88","21.94285714","21.94285714","18.51428571","65.28571429","0","0","0","0","0","0","0","0","0.042857143","0.314285714","149","28.7","29.35","0"
"88","23","23","19.94285714","67.42857143","0","0","0","0","0","0","0","0","0.1","0.785714286","155.7142857","28.69571429","29.35","0"
"88","18.45714286","18.45714286","12.81428571","56.85714286","0","0","0","0","0","0","0","0","0.357142857","1.1","158.4285714","28.90142857","29.55428571","0"
"88","17.57142857","17.57142857","13.55714286","61.57142857","0","0","0","0","0","0","0","0","0.014285714","0.157142857","152.8571429","28.84142857","29.49714286","0"
"88","19.84285714","19.84285714","15.78571429","61.85714286","0","0","0","0","0","0","0","0","0","0","149.4285714","28.84285714","29.49428571","0"
"88","21.61428571","21.61428571","16.67142857","60.85714286","0","0","0","0","0","0","0","0","0.071428571","0.628571429","154.5714286","28.85142857","29.50428571","0"
"88","22.37142857","22.37142857","15.97142857","56.85714286","0","0","0","0","0","0","0","0","1","3.385714286","164.7142857","28.88428571","29.53714286","0"
"88","18.95714286","18.95714286","14.62857143","63","0","0","0","0","0","0","0","0","0.457142857","1.571428571","159.2857143","28.82714286","29.47857143","0"
"88","18.08571429","18.08571429","14.52857143","63","0","0","0","0","0","0","0","0","0.028571429","0.471428571","150.1428571","28.76714286","29.42142857","0"
"88","15.82857143","15.82857143","11","57.71428571","0","0","0","0","0","0","0","0","0.071428571","0.957142857","160.4285714","28.94142857","29.59285714","0"
