"Time","Temperature(℃)","Feels Like(℃)","Dew Point(℃)","Humidity(%)","Solar(W/m²)","UVI","Rain Rate(in/hr)","Daily(in)","Event(in)","Hourly(in)","Weekly(in)","Monthly(in)","Wind Speed(mph)","Wind Gust(mph)","Wind Direction(º)","Relative(inHg)","Absolute(inHg)","Weather Condition"
"89","33.62857143","40.42857143","24.22857143","54.57142857","144.7","0.857142857","0","0","0","0","1.08","14.18","0.4","2.228571429","159.5714286","28.59857143","29.26857143","0"
"88","33.55714286","39.77142857","23.84285714","50","472.6285714","4.142857143","0","0","0","0","0.04","0","1","4.385714286","181.1428571","28.63857143","29.29428571","0"
"88","31.65714286","33.04285714","18.9","41.14285714","453.1571429","3.857142857","0","0","0","0","0.04","0","1.685714286","6.442857143","162.2857143","28.74","29.39428571","0"
"88","31.8","33.22857143","18.94285714","41.28571429","429.7857143","3.714285714","0","0","0","0","0","0","1.128571429","3.871428571","178.7142857","28.72857143","29.38285714","0"
"88","35.04285714","41.61428571","23.72857143","48.85714286","406.3571429","3.571428571","0","0","0","0","0","0.03","0.285714286","1.571428571","161.7142857","28.60428571","29.25714286","0"
"88","34.2","36.25714286","19.4","38.57142857","401.4142857","3.428571429","0","0","0","0","0","0.03","1.714285714","4.714285714","151","28.66428571","29.31571429","0"
"88","32.02857143","33.72857143","19.3","40.85714286","421.7142857","3.714285714","0","0","0","0","0","0.03","1.157142857","2.885714286","175.8571429","28.72","29.37285714","0"
"88","32.05714286","33.9","19.51428571","40.85714286","423.5857143","3.714285714","0","0","0","0","0","0.03","1.514285714","4.4","163.5714286","28.73857143","29.39428571","0"
"88","32.84285714","35.38571429","20.3","42","432.6428571","3.714285714","0","0","0","0","0","0.03","1.442857143","3.528571429","182.5714286","28.71428571","29.36857143","0"
"88","32.95714286","36.55714286","21.54285714","45.14285714","358.7571429","2.857142857","0","0","0","0","0","0.03","2.042857143","5.414285714","204.4285714","28.68714286","29.34","0"
"88","33.47142857","35.72857143","19.78571429","39.28571429","445.5142857","3.714285714","0","0","0","0","0","0","1.014285714","2.714285714","178.5714286","28.66857143","29.32142857","0"
"88","30.3","31.62857143","18.9","46.14285714","306.5571429","2.285714286","0","0","0","0","0","0","1.328571429","3.714285714","156.2857143","28.7","29.35428571","0"
"88","28.24285714","28.2","14.87142857","39.14285714","420.2285714","3.714285714","0","0","0","0","0","0","1.085714286","3.2","158.5714286","28.74285714","29.39714286","0"
"88","28.72857143","28.62857143","15.01428571","38.14285714","443.7714286","3.714285714","0","0","0","0","0","0","1.228571429","2.714285714","167.2857143","28.77","29.42142857","0"
"88","28.42857143","28.45714286","15.24285714","39.14285714","436.6","3.714285714","0","0","0","0","0","0","1.142857143","2.9","177.7142857","28.84142857","29.49142857","0"
"88","29.77142857","29.6","15.22857143","38.85714286","435.8285714","3.714285714","0","0","0","0","0","0","0.785714286","3.542857143","171.4285714","28.74571429","29.4","0"
"88","33.25714286","33.22857143","15.12857143","35","318.1857143","2.571428571","0","0","0","0","0","0","0.385714286","0.942857143","143.2857143","28.64285714","29.29285714","0"
"88","32.44285714","32.4","14.21428571","33","325.2285714","2.571428571","0","0","0","0","0","0","0.757142857","2.242857143","191.5714286","28.67285714","29.32571429","0"
"88","31.05714286","31.11428571","15.04285714","36","178.4714286","1.428571429","0","0","0","0","0","0","0.2","0.314285714","152.2857143","28.60285714","29.25571429","0"
"89","34.17142857","44.55714286","26.44285714","58.57142857","443.9285714","3.857142857","0.121428571","0.02","0.02","0.02","0.02","14.2","0.571428571","2.7","141.1428571","28.50428571","29.17428571","1"
"89","29.91428571","37.12857143","25.9","72.14285714","375.7285714","3.285714286","0","2.12","4.03","0","2.12","8.51","0.257142857","1.571428571","66.85714286","28.43571429","29.10571429","1"
"88","28.81428571","28.72857143","15.27142857","38.42857143","425.3571429","3.571428571","0","0","0","0","0","0.03","2.028571429","4.557142857","199.2857143","28.78714286","29.44","1"
"88","27.77142857","27.7","15.04285714","43.42857143","100.1571429","0.571428571","0","0","0","0","0","0","0.071428571","0.314285714","147.5","28.62","29.27333333","1"
"88","28.34285714","27.9","13.11428571","37","450.6428571","3.714285714","0","0","0","0","0","0","0.871428571","2.557142857","153.8571429","28.77714286","29.42714286","2"
"88","33.25714286","34.11428571","17.68571429","37.42857143","449.3428571","3.857142857","0","0","0","0","0","0","0.485714286","1.742857143","160.4285714","28.64285714","29.29571429","2"
"88","29.72857143","29.71428571","15.82857143","39.57142857","450.7571429","3.714285714","0","0","0","0","0","0","1.214285714","3.557142857","158.4285714","28.80142857","29.45142857","2"
"88","27.5","27.27142857","11.5","34.71428571","302.5571429","2.428571429","0","0","0","0","0","0","1.2","3.042857143","172.4285714","28.81142857","29.46714286","2"
"88","27.75714286","27.75714286","9.485714286","31","426.2","3.714285714","0","0","0","0","0","0","0.9","3.028571429","164.1428571","28.78","29.43285714","2"
"88","30.52857143","30.52857143","15.91428571","39","389.9428571","3.285714286","0","0","0","0","0","0","1.142857143","2.714285714","195.1428571","28.78571429","29.43857143","2"
"88","26.05714286","26.05714286","12.3","37.85714286","449.4428571","3.714285714","0","0","0","0","0","0","2.514285714","4.714285714","180.8571429","28.97714286","29.62857143","2"
"88","28.12857143","28.1","14.88571429","40.85714286","448.8714286","3.857142857","0","0","0","0","0","0","1.428571429","3.557142857","161.1428571","28.87","29.52285714","2"
"88","28.44285714","27.84285714","12.22857143","34.85714286","470.2142857","4","0","0","0","0","0","0","1.2","3.057142857","165.5714286","28.81428571","29.46428571","2"
"88","30.67142857","30.51428571","15.57142857","39.28571429","447.0571429","3.857142857","0","0","0","0","0","0","0.714285714","2.242857143","174","28.72285714","29.37714286","2"
"88","31.87142857","36.07142857","22.47142857","50.14285714","425.8571429","3.714285714","0","0","0","0","0.75","0.91","0.785714286","3.542857143","151.5714286","28.51714286","29.17142857","3"
"88","27.92857143","31.25714286","23.34285714","66","256.6571429","2.142857143","0","0","0","0","0","0.91","0.428571429","3.214285714","132.8571429","28.49714286","29.15","3"
"88","23.82857143","23.82857143","9.242857143","35.57142857","435.7571429","3.714285714","0","0","0","0","0","0","1.742857143","4.4","176","28.95","29.60285714","4"
"88","21.07142857","21.07142857","10.58571429","43.85714286","147.9428571","1.285714286","0","0","0","0","0","0","0.471428571","0.942857143","157.5714286","28.85142857","29.50285714","4"
"88","26.75714286","26.52857143","13.54285714","39.71428571","320.4142857","2.714285714","0","0","0","0","0","0","0.6","1.1","167.8571429","28.74571429","29.4","4"
"88","28.8","29.37142857","18.2","47.85714286","239.0285714","2.142857143","0","0","0","0","0","0","1.285714286","3.228571429","145.4285714","28.79428571","29.44428571","6"
"88","32.37142857","33.55714286","18.45714286","38.71428571","522.8142857","4.428571429","0","0","0","0","0.59","0.02","1.542857143","5.057142857","178","28.66","29.33","7"
"89","33.7","40.18571429","23.97142857","51.28571429","621.9857143","5.714285714","0","0","0","0","1.08","14.18","0.785714286","3.385714286","159.1428571","28.64428571","29.31428571","7"
"88","34.07142857","40.42857143","23.81428571","48.71428571","547","4.857142857","0","0","0","0","0","0.03","0.928571429","3.885714286","169.8571429","28.52142857","29.32142857","7"
"88","32.62857143","36.18571429","21.58571429","46.57142857","484.8428571","4.142857143","0","0","0","0","0.75","0.91","1.171428571","4.371428571","200.5714286","28.63714286","29.28857143","7"
"88","29.34285714","29.4","15.85714286","38.42857143","450.2571429","3.714285714","0","0","0","0","0","0.03","0.728571429","2.242857143","162","28.72","29.37142857","7"
"89","30.15714286","36.55714286","25.88571429","67.42857143","305.4","2.428571429","0.408571429","0.187142857","0.187142857","0.124285714","2.307142857","8.697142857","0.285714286","1.9","131.2857143","28.45571429","29.12571429","8"
"89","28.48571429","33.05714286","24.37142857","70.71428571","251.2428571","2.142857143","0","0.03","0.75","0","1.08","14.18","0.542857143","2.2","209.1428571","28.68428571","29.35428571","8"
"88","32.17142857","39.68571429","25.17142857","56","641.3428571","5.714285714","0","0.02","0","0","0.59","0.02","1.6","6.085714286","150.4285714","28.62428571","29.29428571","8"
"88","35.07142857","42.07142857","24.05714286","47.71428571","457.9142857","3.857142857","0","0","0","0","0","0.03","0.342857143","1.9","157.7142857","28.61142857","29.26428571","8"
"89","35.7","44.78571429","25.34285714","51.14285714","689.0428571","6.285714286","0","0","0","0","1.08","14.18","0.414285714","2.871428571","126.1428571","28.59142857","29.26428571","8"
"89","36.81428571","47.5","26.05714286","49.71428571","627.3714286","5.714285714","0","0","0","0","0","14.18","0.471428571","2.2","105.7142857","28.55857143","29.22857143","8"
"88","32.15714286","34.7","20.44285714","44.28571429","483.8285714","4.285714286","0","0","0","0","0","0.02","0.828571429","3.2","159.8571429","28.68714286","29.35714286","8"
"88","35.14285714","40.82857143","23.02857143","43.57142857","495.9857143","4.428571429","0","0","0","0","0","0.03","1.071428571","4.028571429","178.2857143","28.49","29.29142857","8"
"88","33.1","39.94285714","24.45714286","53","492.1142857","4.428571429","0","0","0","0","0.72","0.88","1.457142857","5.242857143","163.4285714","28.67571429","29.32857143","8"
"88","30.31428571","33.41428571","21.67142857","52.28571429","410.5857143","3.428571429","0","0","0","0","0","0","1.4","4.714285714","180.5714286","28.71714286","29.37142857","8"
"88","29.51428571","33","22.42857143","58.85714286","303.0285714","2.571428571","0","0","0","0","0","0","0.942857143","3.542857143","181.8571429","28.74142857","29.39428571","8"
"88","34.1","37.67142857","21.24285714","42.28571429","446.7571429","3.714285714","0","0","0","0","0","0.03","1","3.557142857","189.1428571","28.62428571","29.27571429","8"
"88","34.45714286","40.14285714","23.14285714","46.28571429","497.1428571","4.571428571","0","0","0","0","0","0.03","0.414285714","2.557142857","162.8571429","28.62571429","29.27571429","8"
"88","30.97142857","31.24285714","16.72857143","38","400.5857143","3.285714286","0","0","0","0","0","0","0.857142857","2.571428571","178.1428571","28.65857143","29.31","8"
