"Time","Temperature(℃)","Feels Like(℃)","Dew Point(℃)","Humidity(%)","Solar(W/m²)","UVI","Rain Rate(in/hr)","Daily(in)","Event(in)","Hourly(in)","Weekly(in)","Monthly(in)","Wind Speed(mph)","Wind Gust(mph)","Wind Direction(º)","Relative(inHg)","Absolute(inHg)","Weather Condition"
"89","27.41428571","31.02857143","24.92857143","75.28571429","0.6","0","0","2.12","4.03","0","2.12","8.51","0.057142857","0.628571429","55","28.46285714","29.13285714","0"
"88","27.5","30.41428571","23.01428571","62.85714286","0","0","0","0","0","0","0.04","0.95","0.1","1.414285714","135.5714286","28.67714286","29.32857143","0"
"88","29.51428571","34.27142857","23.91428571","60.71428571","0","0","0","0","0","0","0","0.03","0","0","113.7142857","28.63","29.28285714","0"
"88","28.41428571","32.74285714","24.12857143","64","0","0","0","0","0","0","0","0.03","0.014285714","0.157142857","165.2857143","28.62571429","29.27714286","0"
"88","26.57142857","27.28571429","20.24285714","57.57142857","0","0","0","0","0","0","0","0.03","0.314285714","1.414285714","163.7142857","28.75714286","29.41","0"
"88","26.75714286","27.44285714","20.04285714","54.57142857","0","0","0","0","0","0","0","0.03","0.285714286","1.414285714","146.8571429","28.74428571","29.39714286","0"
"88","26.72857143","27.55714286","19.45714286","54","0","0","0","0","0","0","0","0.03","0.257142857","1.114285714","156","28.76","29.41142857","0"
"88","27.18571429","28.54285714","21.58571429","60","0","0","0","0","0","0","0","0.03","0.2","0.785714286","142.8571429","28.76","29.41285714","0"
"88","21.12857143","21.12857143","13.54285714","50.42857143","0.014285714","0","0","0","0","0","0","0","0.228571429","1.257142857","162.7142857","28.81285714","29.46714286","0"
"88","26.11428571","26.37142857","18.62857143","52.85714286","0.014285714","0","0","0","0","0","0","0","0.271428571","0.785714286","156.8571429","28.83571429","29.48714286","0"
"88","26.78571429","27.42857143","18.57142857","51.71428571","0.014285714","0","0","0","0","0","0","0","0.242857143","0.785714286","171.5714286","28.84714286","29.5","0"
"88","23.48571429","23.48571429","14.81428571","48.57142857","0.014285714","0","0","0","0","0","0","0","0.985714286","2.871428571","168","28.9","29.55142857","0"
"88","22.28571429","22.28571429","13.5","46.42857143","0.028571429","0","0","0","0","0","0","0","0","0","158","28.74428571","29.39571429","0"
"88","21.24285714","21.24285714","12.77142857","50.28571429","0.071428571","0","0","0","0","0","0","0","1.271428571","2.885714286","164","28.97","29.62428571","0"
"88","26.01428571","26.22857143","16.25714286","49.14285714","0.114285714","0","0","0","0","0","0","0","0.942857143","2.742857143","155.1428571","28.85714286","29.51142857","0"
"88","24.55714286","24.78571429","15.57142857","49","0.414285714","0","0","0","0","0","0","0","1.842857143","5.242857143","162.5714286","28.75428571","29.40857143","0"
"88","21.12857143","21.12857143","12.37142857","48.28571429","0.385714286","0","0","0","0","0","0","0","0.385714286","1.6","156.8571429","28.89428571","29.54714286","0"
"88","19.91428571","19.91428571","13.95714286","53.57142857","0.242857143","0","0","0","0","0","0","0","0","0","150.2857143","28.82428571","29.47714286","0"
"88","21.31428571","21.31428571","14","49.28571429","0.528571429","0","0","0","0","0","0","0","0","0","153","28.70857143","29.36142857","0"
"88","23.67142857","23.68571429","13.91428571","45","0.528571429","0","0","0","0","0","0","0","0","0","134.2857143","28.67571429","29.32857143","0"
"88","28.7","31.32857143","21.55714286","55.42857143","0","0","0","0","0","0","0","0.03","0","0","176.7142857","28.64714286","29.29857143","1"
"88","26.12857143","26.47142857","18.34285714","52.85714286","0","0","0","0","0","0","0","0.03","0.642857143","1.928571429","151.8571429","28.78857143","29.44285714","1"
"88","23.65714286","23.65714286","15.85714286","51.42857143","0","0","0","0","0","0","0","0.03","1.2","3.714285714","153.8571429","28.87285714","29.52571429","1"
"88","22.4","22.4","15.55714286","52.71428571","0","0","0","0","0","0","0","0.03","0.428571429","1.585714286","146","28.83285714","29.48714286","1"
"88","22.65714286","22.65714286","14.58571429","49.71428571","0.042857143","0","0","0","0","0","0","0","0","0","149.7142857","28.79","29.44142857","2"
"88","20.18571429","20.18571429","11.85714286","46.42857143","0.042857143","0","0","0","0","0","0","0","0","0","151.4285714","28.81142857","29.46285714","2"
"88","19.32857143","19.32857143","10.47142857","43.28571429","0.042857143","0","0","0","0","0","0","0","0","0","146","28.78","29.43857143","2"
"88","20.82857143","20.82857143","12.2","45.57142857","0.042857143","0","0","0","0","0","0","0","0","0","150.7142857","28.76","29.41285714","2"
"88","22.3","22.3","15.52857143","52.42857143","0.085714286","0","0","0","0","0","0","0","0","0","131.8571429","28.78","29.43428571","2"
"88","19.57142857","19.57142857","11.01428571","48","0.071428571","0","0","0","0","0","0","0","1.285714286","2.885714286","194.7142857","29.01857143","29.66857143","2"
"88","21.61428571","21.61428571","11.81428571","44.14285714","0.157142857","0","0","0","0","0","0","0","0.057142857","0.471428571","153","28.78714286","29.44","2"
"88","20.71428571","20.71428571","14.65714286","54.28571429","0.314285714","0","0","0","0","0","0","0","0","0","138","28.71714286","29.37","2"
"88","20.6","20.6","11.22857143","45.85714286","0.414285714","0","0","0","0","0","0","0","0.4","1.585714286","171","28.8","29.45428571","2"
"89","28.4","33.58571429","25.18571429","69.85714286","1.171428571","0","0","0.61","0.61","0","0.61","4.48","0.171428571","2.557142857","118","28.57285714","29.24285714","3"
"89","28.77142857","33.94285714","24.8","67.57142857","0.214285714","0","0","0","0","0","1.08","14.18","0.085714286","1.571428571","164.8571429","28.63714286","29.30571429","3"
