"Time","Temperature(℃)","Feels Like(℃)","Dew Point(℃)","Humidity(%)","Solar(W/m²)","UVI","Rain Rate(in/hr)","Daily(in)","Event(in)","Hourly(in)","Weekly(in)","Monthly(in)","Wind Speed(mph)","Wind Gust(mph)","Wind Direction(º)","Relative(inHg)","Absolute(inHg)","Weather Condition"
"88","30.71428571","32.37142857","19.48571429","49.42857143","609.5571429","5.428571429","0","0","0","0","0.04","0","1.642857143","5.242857143","152.8571429","28.79428571","29.44857143","0"
"88","30.44285714","31.42857143","18.28571429","46.71428571","589.0428571","5.285714286","0","0","0","0","0","0","1.442857143","4.214285714","175.7142857","28.81","29.46285714","0"
"88","34.8","43.18571429","25.07142857","54.57142857","652.8714286","5.857142857","0","0","0","0","0","0.03","0.457142857","2.214285714","143","28.68714286","29.34428571","0"
"88","34.92857143","43.67142857","25.31428571","55.57142857","584.9857143","5.285714286","0","0","0","0","0","0.03","0.285714286","1.571428571","139.5714286","28.69428571","29.34714286","0"
"88","32.61428571","35.57142857","20.88571429","49.85714286","525.4571429","4.714285714","0","0","0","0","0","0.03","1.842857143","5.042857143","145","28.72571429","29.37857143","0"
"88","30.22857143","32.81428571","20.98571429","54.28571429","661.7142857","5.857142857","0","0","0","0","0","0.03","2.2","5.571428571","155.2857143","28.80142857","29.45285714","0"
"88","30.45714286","32.3","19.84285714","50.14285714","550.2285714","4.857142857","0","0","0","0","0","0.03","1.9","4.714285714","173.8571429","28.81","29.46428571","0"
"88","29.81428571","31.3","19.2","48.57142857","559.9714286","5","0","0","0","0","0","0.03","1.771428571","5.928571429","177.5714286","28.82285714","29.47571429","0"
"88","27.6","27.98571429","16.85714286","47.28571429","510.8714286","4.428571429","0","0","0","0","0","0.03","2.485714286","5.928571429","189.4285714","28.9","29.55285714","0"
"88","30.34285714","31.74285714","19.12857143","51.28571429","515.9428571","4.428571429","0","0","0","0","0","0","0.628571429","2.242857143","164.8571429","28.72571429","29.37857143","0"
"88","30.84285714","32.82857143","19.91428571","50.14285714","518.0857143","4.428571429","0","0","0","0","0","0","1.2","3.2","179.7142857","28.74571429","29.39857143","0"
"88","29.87142857","31.74285714","20","50.42857143","474.6","4","0","0","0","0","0","0","2.585714286","5.571428571","201","28.73857143","29.39428571","0"
"88","24.47142857","24.48571429","13.71428571","45.28571429","470.2857143","4.142857143","0","0","0","0","0","0","1.614285714","3.728571429","165.1428571","28.95571429","29.61","0"
"88","25.14285714","25.15714286","14.18571429","48.71428571","463.8428571","4","0","0","0","0","0","0","1","3.214285714","151.7142857","28.82857143","29.48285714","0"
"88","26.12857143","26.14285714","14.62857143","46.57142857","512.9571429","4.571428571","0","0","0","0","0","0","1.528571429","3.385714286","166.8571429","28.86857143","29.52285714","0"
"88","26","26.05714286","14.94285714","48","477.8857143","4","0","0","0","0","0","0","1.157142857","3.371428571","171.7142857","28.90142857","29.55285714","0"
"88","25","25.05714286","14.15714286","47.14285714","472.0857143","4","0","0","0","0","0","0","1.028571429","2.9","160.4285714","28.95714286","29.60857143","0"
"88","23.24285714","23.24285714","11.75714286","45.57142857","449","3.857142857","0","0","0","0","0","0","3.014285714","5.742857143","190.7142857","29.05857143","29.71428571","0"
"88","24.98571429","24.87142857","11.34285714","43.85714286","484.3","4.142857143","0","0","0","0","0","0","1.428571429","3.057142857","150","28.93142857","29.58142857","0"
"88","31.12857143","31.15714286","15.62857143","42.85714286","300.5857143","2.142857143","0","0","0","0","0","0","0.128571429","0.942857143","133.5714286","28.66857143","29.32285714","0"
"88","25.8","25.82857143","14.44285714","46.14285714","504.8857143","4.142857143","0","0","0","0","0","0.03","1.985714286","4.071428571","185.8571429","28.90142857","29.55571429","1"
"88","26.54285714","26.65714286","15.68571429","47.57142857","520.6571429","4.428571429","0","0","0","0","0","0.03","1.442857143","3.728571429","135.5714286","28.83","29.48285714","1"
"88","27.92857143","28.72857143","18.34285714","53.28571429","439.3142857","3.857142857","0","0","0","0","0","0","1.585714286","4.228571429","185.8571429","28.90142857","29.55571429","1"
"88","32.55714286","35.95714286","21.38571429","49.42857143","707.4142857","6.428571429","0","0","0","0","0.04","0.95","1.128571429","4.2","174.5714286","28.65285714","29.30428571","1"
"88","24.22857143","24.22857143","13.8","50.28571429","467.7714286","4","0","0","0","0","0","0","1.071428571","2.714285714","152.7142857","28.86714286","29.51857143","2"
"88","26.3","26.44285714","15.94285714","51.14285714","475.7571429","4","0","0","0","0","0","0","1.328571429","2.871428571","157.7142857","28.89857143","29.55","2"
