"Time","Temperature(℃)","Feels Like(℃)","Dew Point(℃)","Humidity(%)","Solar(W/m²)","UVI","Rain Rate(in/hr)","Daily(in)","Event(in)","Hourly(in)","Weekly(in)","Monthly(in)","Wind Speed(mph)","Wind Gust(mph)","Wind Direction(º)","Relative(inHg)","Absolute(inHg)","Weather Condition"
"89","32.9","41.2","25.5","57","116.9285714","0.714285714","0","0","0","0","0","3.87","0.471428571","3.214285714","130.8571429","28.51714286","29.18714286","0"
"88","32.52857143","38.67142857","24.1","53.57142857","54.85714286","0.142857143","0","0","0","0","0","0.03","0.157142857","1.414285714","154.5714286","28.58142857","29.23714286","0"
"88","30.35714286","32","19.55714286","44.57142857","37.85714286","0","0","0","0","0","0","0.03","0.585714286","1.914285714","181.2857143","28.69285714","29.34857143","0"
"88","29.97142857","31.77142857","19.87142857","46","57.05714286","0.142857143","0","0","0","0","0","0.03","0.728571429","2.071428571","156.8571429","28.70857143","29.36142857","0"
"88","30.05714286","31.85714286","19.84285714","45.71428571","44.52857143","0.142857143","0","0","0","0","0","0.03","1","3.228571429","158.5714286","28.72285714","29.37428571","0"
"88","30.67142857","32.58571429","19.9","45.14285714","38.32857143","0","0","0","0","0","0","0.03","0.857142857","3.542857143","150.8571429","28.71","29.36142857","0"
"88","30.71428571","33.7","21.45714286","50.57142857","49.14285714","0.142857143","0","0","0","0","0","0.03","0.614285714","2.542857143","158.8571429","28.68857143","29.34142857","0"
"88","31.02857143","32.81428571","19.62857143","43.28571429","34.15714286","0","0","0","0","0","0","0","0.357142857","0.942857143","149","28.64","29.29428571","0"
"88","24.22857143","24.22857143","13.24285714","42.42857143","56.37142857","0.142857143","0","0","0","0","0","0","0.7","2.071428571","164.2857143","28.76428571","29.41714286","0"
"88","26.35714286","26.45714286","14.97142857","42.57142857","30.72857143","0","0","0","0","0","0","0","0.571428571","1.928571429","155.8571429","28.72142857","29.37428571","0"
"88","27.11428571","27.17142857","15.02857143","40.85714286","34.28571429","0","0","0","0","0","0","0","0.714285714","1.914285714","150.4285714","28.74","29.39428571","0"
"88","30.04285714","31.32857143","18.92857143","44","35.01428571","0","0","0","0","0","0","0","0.742857143","1.742857143","173.1428571","28.78714286","29.43857143","0"
"88","27.54285714","27.6","15.4","40.14285714","31.65714286","0","0","0","0","0","0","0","1.314285714","2.7","168.5714286","28.83142857","29.48857143","0"
"88","27.02857143","27.12857143","15.21428571","41.28571429","33.11428571","0","0","0","0","0","0","0","0.5","1.257142857","165.2857143","28.78","29.43285714","0"
"88","27.58571429","27.38571429","14.01428571","38.14285714","33.21428571","0","0","0","0","0","0","0","0.457142857","1.414285714","170.4285714","28.77","29.42","0"
"88","24.58571429","24.58571429","13.68571429","44.57142857","20.37142857","0","0","0","0","0","0","0","1.485714286","3.071428571","164.7142857","28.91142857","29.56142857","0"
"88","28.57142857","29.18571429","17.25714286","44.71428571","27.84285714","0","0","0","0","0","0","0","0.9","2.428571429","150.8571429","28.80285714","29.45428571","0"
"88","16.42857143","16.42857143","13.47142857","63.28571429","0","0","0","0","0","0","0","0","0","0","148.1428571","28.72","29.37","0"
"88","23.71428571","23.62857143","14.28571429","46.57142857","30.31428571","0","0","0","0","0","0","0","0.128571429","0.471428571","162.4285714","28.70428571","29.35714286","0"
"88","28.75714286","28.77142857","13.74285714","36.42857143","36.9","0","0","0","0","0","0","0","0.4","1.457142857","173","28.64571429","29.30142857","0"
"88","26.57142857","26.84285714","17.78571429","51.71428571","81.47142857","0.714285714","0","0","0","0","0","0","1","2.557142857","191.5714286","28.67285714","29.32571429","0"
"89","29.87142857","36.38571429","25.41428571","69.42857143","82.91428571","0.428571429","0","0.75","1.7","0","3.82","10.21","0.085714286","0.628571429","177.7142857","28.37714286","29.04857143","1"
"89","25.7","26.67142857","24.5","81.57142857","79.24285714","0.428571429","0.23","0.671428571","1.061428571","0.081428571","4.881428571","11.27142857","0.1","1.1","66.57142857","28.40428571","29.07571429","1"
"89","24.04285714","24.04285714","23.12857143","77","28.25714286","0","0.432857143","0.627142857","0.627142857","0.168571429","0.957142857","14.05714286","0.114285714","1.1","124.4285714","28.62857143","29.3","1"
"89","33.94285714","42.37142857","25.35714286","52.85714286","170.0428571","1.285714286","0","0","0","0","0","3.87","0.342857143","2.228571429","88.28571429","28.46","29.13","1"
"89","31.57142857","38.54285714","25","59.14285714","116.9","0.714285714","0","0.61","0.61","0","0.61","4.48","0.2","1.742857143","112.7142857","28.53","29.2","1"
"88","27.25714286","28.81428571","22.64285714","66","49.01428571","0.142857143","0.024285714","0.021428571","0.017142857","0.008571429","0.021428571","0.021428571","0.685714286","3.542857143","172.8571429","28.72857143","29.38142857","1"
"88","26.27142857","26.4","15.67142857","42.85714286","41.68571429","0","0","0","0","0","0","0.03","1.014285714","3.057142857","144.8571429","28.77142857","29.42428571","1"
"88","25.82857143","25.82857143","10.05714286","32.57142857","28.92857143","0","0","0","0","0","0","0","0.328571429","1.257142857","175.5714286","28.73","29.38285714","2"
"88","25.97142857","25.91428571","10.87142857","34.85714286","48.8","0","0","0","0","0","0","0","0.485714286","1.257142857","167.7142857","28.77571429","29.43","2"
"88","25.6","25.6","8.871428571","31.28571429","44.48571429","0","0","0","0","0","0","0","0.314285714","1.428571429","168.8571429","28.74","29.39142857","2"
"88","27.04285714","26.78571429","11.42857143","35","43.27142857","0","0","0","0","0","0","0","0.271428571","1.1","156.5714286","28.71428571","29.36714286","2"
"88","27.75714286","27.75714286","14.87142857","41","51.94285714","0","0","0","0","0","0","0","0.157142857","0.628571429","146.8571429","28.72285714","29.37428571","2"
"88","28.35714286","28.17142857","14.48571429","39","43.32857143","0.142857143","0","0","0","0","0","0","0.4","1.271428571","160.2857143","28.77142857","29.42428571","2"
"88","23.67142857","23.67142857","12.07142857","41","42.02857143","0","0","0","0","0","0","0","1.285714286","2.542857143","162.2857143","28.94714286","29.59857143","2"
"88","26.82857143","26.5","11.6","35.28571429","42.08571429","0","0","0","0","0","0","0","0.457142857","1.571428571","163.4285714","28.75285714","29.40285714","2"
