"Time","Temperature(℃)","Feels Like(℃)","Dew Point(℃)","Humidity(%)","Solar(W/m²)","UVI","Rain Rate(in/hr)","Daily(in)","Event(in)","Hourly(in)","Weekly(in)","Monthly(in)","Wind Speed(mph)","Wind Gust(mph)","Wind Direction(º)","Relative(inHg)","Absolute(inHg)","Weather Condition"
"88","25.48571429","26.17142857","20.45714286","67.14285714","224.1571429","1.857142857","0","0","0","0","0.04","0","0.714285714","3.714285714","146.5714286","28.76428571","29.41857143","0"
"88","24.47142857","24.74285714","18.67142857","65","221.3142857","1.571428571","0","0","0","0","0","0","0.628571429","2.914285714","174.4285714","28.80857143","29.45857143","0"
"88","28.31428571","32.07142857","24.55714286","71.85714286","197.0714286","1.428571429","0","0","0","0","0","0.03","0.057142857","0.942857143","126.2857143","28.69","29.34428571","0"
"88","27.01428571","28.32857143","21.68571429","66.85714286","183.4285714","1.428571429","0","0","0","0","0","0.03","0.828571429","2.271428571","149.2857143","28.71","29.36142857","0"
"88","25.55714286","26.44285714","19.85714286","63.85714286","215.9857143","1.714285714","0","0","0","0","0","0.03","1.228571429","2.914285714","180.4285714","28.77857143","29.42857143","0"
"88","24.54285714","25.08571429","20.32857143","68.28571429","150.2714286","1","0","0","0","0","0","0.03","0.371428571","1.457142857","177.5714286","28.79714286","29.44857143","0"
"88","23.97142857","24.44285714","20.1","69.57142857","139.1857143","1","0","0","0","0","0","0.03","0.371428571","0.785714286","187.5714286","28.80428571","29.45857143","0"
"88","23.71428571","23.87142857","18.34285714","65.14285714","153.7142857","1","0","0","0","0","0","0.03","0.614285714","1.742857143","181.5714286","28.79857143","29.45","0"
"88","21.7","21.88571429","18.6","71.28571429","118.4857143","0.857142857","0","0","0","0","0","0","0.071428571","0.471428571","143.1428571","28.71714286","29.36714286","0"
"88","22.37142857","22.57142857","18.7","67.85714286","128.4285714","0.857142857","0","0","0","0","0","0","0.357142857","1.271428571","148.2857143","28.74","29.39285714","0"
"88","22.55714286","22.75714286","18.44285714","67.71428571","117.2142857","0.857142857","0","0","0","0","0","0","0.442857143","1.114285714","156.7142857","28.75428571","29.40714286","0"
